"","cpnd","dates","slope","r2","ChemFormula","O_C_ratio","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat","Func_Group_Cat_3","Haofei_cat","Cstar_Cat"
"31","octadecanal (?)",2020-11-27,0.0010185160571773,0.981855680536565,"C18H36O",0.055555556,52.35700932,0.867945495,2056,2056.296296,"Aldehyde","Aldehyde",NA,"CHO"
"32","nonanol",2020-11-27,0.000571568540555856,0.84540604623666,"C9H20O",0.111111111,28.40686812,0.508795635,1318,1318.150179,"Alcohol","Alcohol","LOOA","CHO"
"33","monostearin TMS",2020-11-27,0.00764599294419969,0.992851833700605,"C21H42O4",0.19047619,68.92030251,0.708323335,2788,2788.679245,"Alcohol","Alcohol",NA,"CHO"
"34","monopalmitin",2020-11-27,0.000606120831797459,0.974233810127322,"C19H38O4",0.210526316,65.68379694,0.748228875,2628,2628.301887,"Alcohol","Alcohol",NA,"CHO"
"35","mannosan",2020-11-27,0.00253976317042868,0.930225052274683,"C6H10O5",0.833333333,42.30480379,0.85796911,1706,1706.097561,"Sugar","Sugar",NA,"CHO"
"36","maltol",2020-11-27,0.00506113218747151,0.876509243958448,"C6H6O3",0.5,28.33071505,1.09740235,1316,1316.427025,"Alcohol","Alcohol",NA,"CHO"
"37","lupeol",2020-11-27,0.000486881847686,0.978884998289661,"C30H50O",0.033333333,81.21902366,1.03754404,3483,3483.516484,"Misc","Misc",NA,"CHO"
"38","linoleic Acid, TMS",2020-11-27,0.000573011519358571,0.952743634359415,"C18H32O2",0.111111111,57.11657633,0.69834695,2245,2245.16129,"Acid","Acid","LOOA","CHO"
"39","levoglucosan",2020-11-27,0.00122045491276314,0.977280175217528,"C6H10O5",0.833333333,42.95210491,0.847992725,1726,1726.829268,"Sugar","Sugar","BBOA","CHO"
"40","ketopinic acid",2020-11-27,0.000959491251056985,0.909992174398841,"C10H14O3",0.3,36.55524684,1.326859205,1530,1530.054645,"Acid","Acid","MTSOA","CHO"
"41","isopimaric acid",2020-11-27,0.00035495504348504,0.997342342477338,"C20H30O2",0.1,60.42923497,0.867945495,2385,2385.483871,"Acid","Acid","LOOA","CHO"
"42","isoeugenol",2020-11-27,0.000196401045747896,0.779506146636288,"C10H12O2",0.2,38.68753286,0.77815803,1591,1591.256831,"Alcohol","Alcohol","LOOA","CHO"
"43","hydroquinone",2020-11-27,0.00190490708409985,0.959719379250795,"C6H6O2",0.333333333,32.74759324,0.728276105,1420,1420.765027,"Benz","Arom",NA,"CHO"
"44","homosalate, TMS",2020-11-27,0.00038619421317764,0.966539817803779,"C16H22O3",0.1875,52.31893278,0.927803805,2054,2054.814815,"Misc","Misc",NA,"CHO"
"45","hexadecanol, TMS",2020-11-27,0.00020853714776466,0.99699194957146,"C13H35O",0.076923077,50.60548866,0.528748405,1989,1989.261745,"Alcohol","Alcohol","LOOA","CHO"
"46","hexadecanamide",2020-11-27,0.0010427120238636,0.950193747877569,"C16H33NO",0.0625,56.35504561,1.227095355,2212,2212.903226,"Amide","Amide",NA,"CHON"
"47","glyceric acid (?)",2020-11-27,0.00963231657191899,0.998349481511572,"C3H6O4",1.333333333,29.92992957,0.688370565,1352,1352.613262,"Acid","Acid","ISOPSOA","CHO"
"48","gamma dodecalactone",2020-11-27,0.000554284626302036,0.993712284134717,"C12H22O2",0.166666667,42.4190334,1.89551315,1709,1709.756098,"Sugar","Sugar",NA,"CHO"
"49","galactosan",2020-11-27,0.000292294416308472,0.805188972970876,"C6H10O5",0.833333333,41.61942614,0.83801634,1684,1684.146341,"Sugar","Sugar",NA,"CHO"
"50","erythreitol",2020-11-27,6.93460379071534e-05,0.82004489126135,"C4H10O4",1,36.51717031,0.53872479,1528,1528.961749,"Alcohol","Alcohol","ISOPSOA","CHO"
"51","ergosterol",2020-11-27,0.00144407676870762,0.889627114258958,"C28H44O",0,78.05867117,0.83801634,3296,3296.551724,"Alcohol","Sterol",NA,"CHO"
"52","eicosanol, TMS",2020-11-27,0.000278088867805617,0.990065578937838,"C20H42O",0,60.54346457,0.548701175,2390,2390.322581,"Alcohol","Alcohol","LOOA","CHO"
"53","dodecyl benzene",2020-11-27,0.000328242022804244,0.993218374795259,"C18H30",0,48.66358532,0.61853587,1920,1920.805369,"Benz","Arom","Other","CH"
"54","dimethyl Glutaric Acid, TMS",2020-11-27,0.00328978812415716,0.998851533897696,"C7H12O4",0.571428571,34.00411893,0.89787465,1456,1456.830601,"Acid","Acid","MOOA","CHO"
"55","dibenz(ah)anthracene",2020-11-27,0.000778505998388431,0.972000006953176,"C22H14",0,77.79213542,1.51641052,3280,3280.45977,"PAH","Arom",NA,"CH"
"56","deoxycholic Acid (maybe)",2020-11-27,0.00577479267703012,0.989724515507967,"C24H40O4",0.166666667,78.89635496,0.967709345,3347,3347.126437,"Acid","Acid","LOOA","CHO"
"57","cycloisolongifolene",2020-11-27,0.0182602988606367,0.983998884601546,"C15H24",0,30.04415917,0.648465025,1355,1355.197993,"Sesq","Terpene","SESQ","CH"
"58","citronellol",2020-11-27,0.000584869241007301,0.810745575740907,"C10H20O",0.1,29.32070499,0.528748405,1338,1338.828029,"Alcohol","Alcohol",NA,"CHO"
"59","chrysene",2020-11-27,0.000367680183154093,0.973274245904995,"C18H12",0,63.627664,1.29693005,2531,2531.578947,"PAH","Arom",NA,"CH"
"60","cholesterol",2020-11-27,0.000411933633511499,0.989356004138885,"C27H46O",0.037037037,76.6117628,0.83801634,3209,3209.195402,"Alcohol","Sterol",NA,"CHO"
"61","borneol",2020-11-27,0.000582961849377483,0.873424590592162,"C10H18O",0.1,25.77958713,0.61853587,1254,1254.323789,"Alcohol","Alcohol",NA,"CHO"
"62","bisabolol",2020-11-27,0.00402736232246451,0.998987039312105,"C15H26O",0.066666667,44.3228602,0.55867756,1770,1770.731707,"Alcohol","Alcohol",NA,"CHO"
"63","beta-sitosterol",2020-11-27,0.000991181768704772,0.985099465820061,"C29H50O",0.034482759,79.8863449,0.867945495,3406,3406.593407,"Alcohol","Sterol",NA,"CHO"
"64","beta-nocaryophyllonic acid, TMS",2020-11-27,0.0014842106329542,0.994300128178799,"C14H22O4",0.285714286,50.49125905,1.725914605,1985,1985.234899,"Acid","Acid","SQSOA","CHO"
"65","beta-nocaryophyllone aldehyde",2020-11-27,0.00266345490915997,0.924283060939257,"C14H22O3",0.214285714,43.90401831,0.269362395,1757,1757.317073,"Aldehyde","Aldehyde","SQSOA","CHO"
"66","beta-caryophyllonic acid, TMS",2020-11-27,0.00031327337683593,0.968963033406192,"C15H24O3",0.2,48.96819761,1.326859205,1931,1931.543624,"Acid","Acid","SQSOA","CHO"
"67","beta-caryophyllinic acid, TMS",2020-11-27,0.000380118572158289,0.958678766278435,"C14H22O4",0.285714286,52.47123893,0.927803805,2060,2060.740741,"Acid","Acid","SQSOA","CHO"
"68","beta-caryophyllene aldehyde",2020-11-27,0.000406503799283005,0.932509265273275,"C15H24O2",0.133333333,42.60941608,1.965347845,1715,1715.853659,"Aldehyde","Aldehyde","SQSOA","CHO"
"69","benzophenone",2020-11-27,0.00113988998644743,0.943588012756858,"C13H10O",0.076923077,41.01020157,1.17721343,1664,1664.634146,"PAH","Arom","Other","CHO"
"70","anthraquinone",2020-11-27,0.000500016641070562,0.989164686828585,"C14H8O2",0.142857143,51.36701938,1.446575825,2017,2017.777778,"PAH","Arom",NA,"CHO"
"71","abietic acid",2020-11-27,0.000381152857631043,0.983321947079488,"C20H30O2",0.1,62.2569087,0.83801634,2468,2468.421053,"Acid","Acid","LOOA","CHO"
"72","a-Amyrin",2020-11-27,0.000507219544271845,0.988686025410385,"C30H50O",0.033333333,81.14287059,1.05749681,3479,3479.120879,"Sesq","Alcohol",NA,"CHO"
"73","SESQ9",2020-11-27,0.000116914344096627,0.774888258560705,"C15H24",0,39.33483398,1.067473195,1610,1610.97561,"Sesq","Terpene","SESQ","CH"
"74","SESQ7",2020-11-27,0.00296977127511235,0.944810986118422,"C15H24",0,36.8217826,0.53872479,1537,1537.704918,"Sesq","Terpene","SESQ","CH"
"75","SESQ6",2020-11-27,0.00037747008357839,0.763716465638665,"C15H24",0,35.29872115,0.61853587,1493,1493.989071,"Sesq","Terpene","SESQ","CH"
"76","SESQ2",2020-11-27,0.0476358954420904,0.885425806099131,"C15H24",0,33.73758317,1.626150755,1449,1449.180328,"Sesq","Terpene","SESQ","CH"
"77","Me-OH-glutatric acid (?)",2020-11-27,0.000320724808657189,0.88367869743698,"C6H10O5",0.833333333,39.71559934,0.828039955,1623,1623.170732,"Acid","Acid","MOOA","CHO"
"78","MBTCA",2020-11-27,0.00038038005073883,0.836911494810463,"C8H12O6",0.75,44.51324288,0.97768573,1776,1776.829268,"Acid","Acid","MTSOA","CHO"
"79","FAME18 (Methyl Stearate)",2020-11-27,0.00032185085964404,0.991308396585522,"C19H38O2",0.105263158,55.06044338,0.71829972,2161,2161.481481,"Acid","Acid",NA,"CHO"
"80","FAME16 (Methyl Palmitate)",2020-11-27,0.000279199015361687,0.995301951581132,"C17H34O2",0.117647059,49.69165179,0.728276105,1957,1957.04698,"Acid","Acid",NA,"CHO"
"81","DEET",2020-11-27,0.000515801857344676,0.974147123163397,"C12H17NO",0.083333333,38.99214515,1.785772915,1600,1600,"Amide","Amide",NA,"CHON"
"82","C9 Diacid (azelaic acid)",2020-11-27,0.000219090035432492,0.992289962507959,"C9H16O4",0.444444444,45.88399818,0.947756575,1822,1822.818792,"Acid","Acid","MOOA","CHO"
"83","C8 acid",2020-11-27,0.0116503451846775,0.987795137294524,"C8H16O2",0.25,27.34072511,0.71829972,1293,1293.392792,"Acid","Acid","LOOA","CHO"
"84","C28 acid",2020-11-27,0.00196868884942279,0.995211712640715,"C28H56O2",0.071428571,77.9825181,0.73825249,3291,3291.954023,"Acid","Acid","LOOA","CHO"
"85","C26 acid",2020-11-27,0.00123777213721013,0.992277773635038,"C26H52O2",0.076923077,74.47947678,0.71829972,3088,3088.172043,"Acid","Acid","LOOA","CHO"
"86","C24 acid",2020-11-27,0.000720624264293442,0.984812344434563,"C24H48O2",0.083333333,70.78605278,0.69834695,2886,2886.868687,"Acid","Acid","LOOA","CHO"
"87","C22 acid",2020-11-27,0.000595382854596859,0.97291216930228,"C22H44O2",0.090909091,66.82609303,0.688370565,2684,2684.90566,"Acid","Acid","LOOA","CHO"
"88","C18 Acid",2020-11-27,0.000103043552233054,0.921595618737863,"C18H36O2",0.111111111,57.95426012,0.69834695,2280,2280.645161,"Acid","Acid","LOOA","CHO"
"89","C17 acid",2020-11-27,0.000531780683757037,0.961030023140355,"C17H34O2",0.117647059,55.47928528,0.668417795,2177,2177.777778,"Acid","Acid","LOOA","CHO"
"90","C16 Acid",2020-11-27,0.000130556474935762,0.863291903823143,"C16H32O2",0.125,52.92815736,0.688370565,2078,2078.518519,"Acid","Acid","LOOA","CHO"
"91","C14 Diacid",2020-11-27,0.000617236697330862,0.949319522695824,"C14H26O4",0.285714286,58.83002045,0.887898265,2317,2317.741935,"Acid","Acid","MOOA","CHO"
"92","C13 acid",2020-11-27,0.000183041460075943,0.957073834568047,"C13H26O2",0.153846154,44.51324288,0.688370565,1776,1776.829268,"Acid","Acid","LOOA","CHO"
"93","C12 diacid",2020-11-27,0.000350701601038978,0.985988964179283,"C12H22O4",0.333333333,53.99430037,0.907851035,2120,2120,"Acid","Acid","MOOA","CHO"
"94","C10 diacid (sebacic acid)",2020-11-27,0.000260257607237619,0.984673831769165,"C10H18O4",0.4,48.70166185,0.93778019,1922,1922.147651,"Acid","Acid","MOOA","CHO"
"95","C35",2020-11-27,0.0010647198485565,0.983638271564309,"C35H72",0,82.6278555,0.71829972,3564,3564.835165,"Alkane","Alkane","Hydrocarbon","CH"
"96","C33",2020-11-27,0.000794207839484138,0.982390225985914,"C33H38",0,79.16289072,0.63848864,3363,3363.218391,"Alkane","Alkane","Hydrocarbon","CH"
"97","C32",2020-11-27,0.000678520721918045,0.976632740430321,"C32H66",0,77.44944659,0.628512255,3259,3259.770115,"Alkane","Alkane","Hydrocarbon","CH"
"98","C31",2020-11-27,0.000660111637930022,0.9805980334691,"C31H64",0,75.73600247,0.61853587,3159,3159.139785,"Alkane","Alkane","Hydrocarbon","CH"
"99","C30",2020-11-27,0.000483410453141998,0.976159675960305,"C30H62",0,73.94640527,0.5985831,3058,3058.064516,"Alkane","Alkane","Hydrocarbon","CH"
"100","C29",2020-11-27,0.000450976297731944,0.982034888946647,"C29H60",0,72.08065501,0.588606715,2955,2955.555556,"Alkane","Alkane","Hydrocarbon","CH"
"101","C28",2020-11-27,0.000405243305027891,0.993253959557911,"C28H58",0,70.13875167,0.57863033,2852,2852.525253,"Alkane","Alkane","Hydrocarbon","CH"
"102","C27",2020-11-27,0.000420485717851886,0.98113440652355,"C27H56",0,68.15877179,0.568653945,2750,2750.943396,"Alkane","Alkane","Hydrocarbon","CH"
"103","C26",2020-11-27,0.000621486024674432,0.992466664169723,"C26H54",0,66.10263884,0.568653945,2649,2649.056604,"Alkane","Alkane","Hydrocarbon","CH"
"104","C25",2020-11-27,0.000350952513526087,0.99116689083869,"C25H52",0,63.93227628,0.55867756,2545,2545.614035,"Alkane","Alkane","Hydrocarbon","CH"
"105","C24",2020-11-27,0.000336454968209952,0.999070462499023,"C24H50",0,61.72383719,0.548701175,2443,2443.859649,"Alkane","Alkane","Hydrocarbon","CH"
"106","C23",2020-11-27,0.000313382018166163,0.995803956692595,"C23H48",0,59.40116849,0.548701175,2341,2341.935484,"Alkane","Alkane","Hydrocarbon","CH"
"107","C22",2020-11-27,0.000291876383097643,0.99680751307592,"C22H46",0,56.96427018,0.53872479,2238,2238.709677,"Alkane","Alkane","Hydrocarbon","CH"
"108","C21",2020-11-27,0.000313445979101335,0.995295358027432,"C21H44",0,54.4512188,0.51877202,2137,2137.777778,"Alkane","Alkane","Hydrocarbon","CH"
"109","C20",2020-11-27,0.000311205690200403,0.9955672877374,"C20H42",0,51.78586128,0.51877202,2034,2034.074074,"Alkane","Alkane","Hydrocarbon","CH"
"110","C19",2020-11-27,0.000309785347695795,0.997255119403604,"C19H40",0,49.04435068,0.508795635,1934,1934.228188,"Alkane","Alkane","Hydrocarbon","CH"
"111","C18",2020-11-27,0.000669129179143197,0.977990644134999,"C18H38",0,46.1124574,0.49881925,1830,1830.872483,"Alkane","Alkane","Hydrocarbon","CH"
"112","C17",2020-11-27,0.000902890921758901,0.97675498393582,"C17H36",0,43.06633451,0.488842865,1730,1730.487805,"Alkane","Alkane","Hydrocarbon","CH"
"113","C16",2020-11-27,0.00161312128811997,0.955856591343554,"C16H34",0,39.82982895,0.488842865,1626,1626.829268,"Alkane","Alkane","Hydrocarbon","CH"
"114","C14",2020-11-27,0.0269710022750869,0.96146770421831,"C14H30",0,32.82374631,0.468890095,1422,1422.95082,"Alkane","Alkane","Hydrocarbon","CH"
"115","9H-Florenone",2020-11-27,0.000443457681409201,0.990734072954353,"C13H10",0,44.55131942,1.386717515,1778,1778.04878,"Ketone","Ketone",NA,"CH"
"116","4-terpineol (?)",2020-11-27,0.0356258787403372,0.993619175460575,"C10H18O",0.1,23.87576033,0.77815803,1206,1206.678663,"Alcohol","Alcohol",NA,"CHO"
"117","4-nitrocatechol",2020-11-27,0.000567461058307731,0.970953057262495,"C6H5NO4",0.666666667,44.28478367,1.566292445,1769,1769.512195,"Cat","Cat",NA,"CHON"
"118","4-hydroxybenzoic acid",2020-11-27,5.87130618339318e-05,0.821919447675591,"C7H6O3",0.428571429,40.59135967,0.887898265,1651,1651.219512,"Acid","Acid",NA,"CHO"
"119","4, 4 dimethoxy-benzophenone",2020-11-27,0.000429666267781021,0.974958735752212,"C15H14O3",0.2,58.25887241,1.446575825,2293,2293.548387,"Ketone","Ketone",NA,"CHO"
"120","3-5-dimethoxyphenol",2020-11-27,0.000568032517557917,0.999149665580327,"C8H10O3",0.375,36.4029407,0.87792188,1525,1525.68306,"Alcohol","Alcohol",NA,"CHO"
"121","2-Ketoglutaric acid, tri-TMS",2020-11-27,0.00904549136312792,0.966558895293435,"C5H6O5",1,39.90598202,0.7981108,1629,1629.268293,"Acid","Acid","MOOA","CHO"
"122","16-OH C16 Acid, TMS",2020-11-27,0.000363368775005593,0.970580000718673,"C16H32O3",0.1875,61.4192249,0.688370565,2429,2429.824561,"Acid","Acid","LOOA","CHO"
"123","12-OH C18 Acid, TMS",2020-11-27,0.000552888423111172,0.990478474761697,"C18H36O3",0.166666667,62.29498523,0.69834695,2470,2470.175439,"Acid","Acid","LOOA","CHO"
"124","xanthone",2020-12-01,0.000485449578512389,0.979101193307993,"C13H8O2",0.153846154,48.24474342,1.37674113,1906,1906.040268,"Ketone","Ketone",NA,"CHO"
"125","verbenone (-)",2020-12-01,0.0355255899225452,0.977867323343087,"C10H14O",0.1,25.09420948,2.065111695,1237,1237.171543,"Ketone","Ketone",NA,"CHO"
"126","vanillin",2020-12-01,0.000853825420805561,0.988815610466716,"C8H8O3",0.375,37.54523678,1.33683559,1558,1558.469945,"Aldehyde","Aldehyde","BBOA","CHO"
"127","vanillic acid",2020-12-01,0.000185573436666411,0.989147741715752,"C8H8O4",0.5,44.89400825,0.87792188,1789,1789.02439,"Acid","Acid",NA,"CHO"
"128","threitol",2020-12-01,0.000191093231433416,0.835812990139151,"C4H10O4",1,36.25063456,0.528748405,1521,1521.311475,"Alcohol","Alcohol","ISOPSOA","CHO"
"129","syringic acid",2020-12-01,0.00020735928841285,0.993780450995648,"C9H10O5",0.555555556,48.77781493,0.87792188,1924,1924.832215,"Acid","Acid",NA,"CHO"
"130","syringaldehyde",2020-12-01,0.000335498150281629,0.997422240882926,"C9H10O4",0.444444444,42.95210491,1.326859205,1726,1726.829268,"Aldehyde","Aldehyde",NA,"CHO"
"131","stigmasterol",2020-12-01,0.000479263010485143,0.96436764107203,"C19H48O",0.052631579,78.85827843,0.85796911,3344,3344.827586,"Misc","Sterol",NA,"CHO"
"132","squalene",2020-12-01,0.000637073746947232,0.924611665414805,"C30H50",0,70.44336395,0.5985831,2868,2868.686869,"Misc","Terpene","SESQ","CH"
"133","sinapinaldehyde",2020-12-01,0.000513835643808814,0.997369555435344,"C11H12O4",0.363636364,51.74778474,1.53636329,2032,2032.592593,"Aldehyde","Aldehyde",NA,"CHO"
"134","retene",2020-12-01,0.000231213101253913,0.999145118440427,"C18H18",0,57.64964783,1.047520425,2267,2267.741935,"PAH","Arom",NA,"CH"
"135","quinoline",2020-12-01,0.00134453541011089,0.970250443944227,"C9H7N",0,26.73150054,1.09740235,1278,1278.146352,"PAH","Arom",NA,"CHN"
"136","pyrocatechol",2020-12-01,0.000596505500002515,0.825219204835064,"C6H6O2",0.333333333,29.35878153,0.67839418,1339,1339.689606,"Cat","Cat",NA,"CHO"
"137","pyrene",2020-12-01,0.000259059784653576,0.99809133497048,"C10H16",0,55.32697913,1.21711897,2171,2171.851852,"PAH","Arom",NA,"CH"
"138","pinonic acid",2020-12-01,0.00258360429945858,0.941311800360401,"C10H16O3",0.3,37.27870103,1.466528595,1550,1550.819672,"Acid","Acid","MTSOA","CHO"
"139","pinic acid 2",2020-12-01,0.00111312127566939,0.972289991703436,"C9H14O4",0.444444444,42.03826804,0.97768573,1697,1697.560976,"Acid","Acid","MTSOA","CHO"
"140","pinic acid 1",2020-12-01,0.000790083955957071,0.982573152115344,"C9H14O4",0.444444444,41.8859619,0.967709345,1692,1692.682927,"Acid","Acid","MTSOA","CHO"
"141","phthalimide",2020-12-01,0.00096664725029543,0.994386383895913,"C8H5NO2",0.25,38.76368594,1.13730789,1593,1593.442623,"Amide","Misc",NA,"CHON"
"142","phthalic acid",2020-12-01,0.000521235308879448,0.982144081060693,"C8H6O4",0.5,42.57133954,1.107378735,1714,1714.634146,"Acid","Acid",NA,"CHO"
"143","perylene",2020-12-01,0.000335761248460402,0.987548674495184,"C20H12",0,72.30911422,1.45655221,2967,2967.676768,"PAH","Arom",NA,"CH"
"144","pentadecanone",2020-12-01,0.000554838331474528,0.977336413748662,"C15H30O",0.066666667,42.95210491,0.947756575,1726,1726.829268,"Ketone","Ketone","LOOA","CHO"
"145","palmitoleic Acid",2020-12-01,0.000518671556055847,0.991793203102595,"C16H30O2",0.125,52.35700932,0.708323335,2056,2056.296296,"Acid","Acid","LOOA","CHO"
"146","octadecanone",2020-12-01,0.000311952661498178,0.98827195723691,"C18H36O",0.055555556,51.7097082,0.847992725,2031,2031.111111,"Ketone","Ketone","LOOA","CHO"
"147","octadecanol",2020-12-01,0.000139391834800922,0.997672763333191,"C18H38O",0.055555556,55.8219741,0.548701175,2191,2191.111111,"Alcohol","Alcohol","LOOA","CHO"
"148","octadecanal (?)",2020-12-01,0.000889182977711899,0.929199079747056,"C18H36O",0.055555556,52.35700932,0.867945495,2056,2056.296296,"Aldehyde","Aldehyde",NA,"CHO"
"149","nonanol",2020-12-01,0.000934492948793979,0.884023612724563,"C9H20O",0.111111111,28.40686812,0.508795635,1318,1318.150179,"Alcohol","Alcohol","LOOA","CHO"
"150","monostearin TMS",2020-12-01,0.00844915272039225,0.995626335218081,"C21H42O4",0.19047619,68.92030251,0.708323335,2788,2788.679245,"Alcohol","Alcohol",NA,"CHO"
"151","monopalmitin",2020-12-01,0.000886547608614447,0.999739494956736,"C19H38O4",0.210526316,65.68379694,0.748228875,2628,2628.301887,"Alcohol","Alcohol",NA,"CHO"
"152","mannosan",2020-12-01,0.00448686713337833,0.96468349733659,"C6H10O5",0.833333333,42.30480379,0.85796911,1706,1706.097561,"Sugar","Sugar",NA,"CHO"
"153","maltol",2020-12-01,0.0169780032953612,0.995661923495339,"C6H6O3",0.5,28.33071505,1.09740235,1316,1316.427025,"Alcohol","Alcohol",NA,"CHO"
"154","lupeol",2020-12-01,0.000347921565178017,0.979243075515117,"C30H50O",0.033333333,81.21902366,1.03754404,3483,3483.516484,"Misc","Misc",NA,"CHO"
"155","linoleic Acid, TMS",2020-12-01,0.000564283707787859,0.967416712502903,"C18H32O2",0.111111111,57.11657633,0.69834695,2245,2245.16129,"Acid","Acid","LOOA","CHO"
"156","levoglucosan",2020-12-01,0.00140629410229131,0.995088733349109,"C6H10O5",0.833333333,42.95210491,0.847992725,1726,1726.829268,"Sugar","Sugar","BBOA","CHO"
"157","ketopinic acid",2020-12-01,0.002049011360318,0.985390503297398,"C10H14O3",0.3,36.55524684,1.326859205,1530,1530.054645,"Acid","Acid","MTSOA","CHO"
