Compound.Name,assigned_cluster_1,anthro_influenced_1,influence_type_1,notes_1,assigned_cluster_2,anthro_influenced_2,influence_type_2,notes_2,ES_Comp_Name,Tracer_key,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,cumsum_ISrawnorm,vol_frac_1,vol_frac_2,Overlap_Class
1202_0046_blob_976,10,TRUE,BB,Levoglucosan here,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"13-Retinoic acid, (Z)-, TMS derivative",625,limonox_L_blob_644,605,0.000206642,0.101396088,0.020540178,IOP1_BB
1202_0046_blob_938,6,TRUE,BB,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"§-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",701,limonox_S_blob_649,592,0.00015233,0.023154976,0.020540178,IOP1_BB
1128_1901_blob_1109,6,TRUE,BB,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"2-Cyclohexene-1-carboxylic acid, 2-(7-hydroxy-3-methyl-1,3-octadienyl)-1,3-dimethyl-4-oxo-, methyl ester, [R-[R*,S*-(E,E)]]-",661,bcp_ox_L_blob_628,579,6.11E-05,0.023154976,0.020540178,IOP1_BB
1202_1412_blob_994,6,TRUE,BB,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",643,limonox_S_blob_905,537,9.15E-05,0.023154976,0.020540178,IOP1_BB
1202_1412_blob_690,6,TRUE,BB,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"1-(4-((tert-Butyldimethylsilyl)oxy)-3,5-dimethoxyphenyl)ethanone",688,limonox_L_blob_547,495,4.37E-05,0.023154976,0.020540178,IOP1_BB
1202_0046_blob_1280,6,TRUE,BB,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Methyl 3-indolepropionate, TMS derivative",617,limonox_S_blob_687,437,8.30E-06,0.023154976,0.020540178,IOP1_BB
1128_2052_blob_1337,6,TRUE,BB,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"1,4-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",644,limonox_S_blob_633,270,1.92E-05,0.023154976,0.020540178,IOP1_BB
1128_1901_blob_794,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"4-Chloro-3-nitrobenzyl alcohol, TMS derivative",544,apin_ox_L_blob_525,873,8.17E-05,0.046678541,0.020540178,
1128_1901_fb_add_blob_924,5,FALSE,NA,IEPOX and LOOOA,1,FALSE,NA,some anthro influence and IEPOX but none strong,C10 carboxylic acid,NA,"Decanoic acid, TMS derivative",853,myrc_ox_L_blob_566,854,0.000243858,0.020926693,0.020540178,
1128_1901_blob_784,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"2-Hydroxycyclohexane-1-carboxylic acid, bis(trimethylsilyl) deriv.",742,myrc_ox_L_blob_682,689,0.00098205,0.043048537,0.020540178,
1221_0832_blob_965,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"1,7-Heptanediol, 2TMS derivative",685,apin_ox_S_blob_656,663,0.000309992,0.043048537,0.020540178,
1221_0832_blob_919,4,FALSE,NA,some HC influence but not clear,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",672,limonox_S_blob_804,633,0.000139467,0.033971825,0.020540178,
1202_0046_blob_889,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"§-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",684,limonox_S_blob_754,629,0.000161768,0.043048537,0.020540178,
1128_1901_blob_1248,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",591,myrc_ox_L_blob_606,582,9.26E-05,0.043048537,0.020540178,
1221_2326_blob_861,4,FALSE,NA,some HC influence but not clear,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",632,limonox_S_blob_905,576,3.96E-06,0.033971825,0.020540178,
1221_0832_blob_654,4,FALSE,NA,some HC influence but not clear,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Methyl 2,2-dimethyl-3,6,9,12-tetraoxa-2-silatetradecan-14-oate",734,myrc_ox_L_blob_727,573,0.000145682,0.033971825,0.020540178,
1221_2326_blob_858,NA,NA,NA,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",600,myrc_ox_L_blob_801,569,4.16E-06,NA,0.020540178,
1128_1901_blob_922,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",686,limonox_S_blob_725,566,1.30E-05,0.046678541,0.020540178,
1221_0832_blob_829,8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,Bis(1-chloro-2-propyl)(3-chloro-1-propyl)phosphate,560,myrc_ox_L_blob_801,546,0.000691599,0.063370583,0.020540178,
1129_1334_blob_1559,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"1H-Isoindole-1,3(2H)-dione, 2-methyl-",622,limonox_S_blob_837,540,0.000187848,0.043048537,0.020540178,
1129_1334_blob_1374,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"6-Amino-1-hexanol, TMS derivative",688,limonox_S_blob_812,538,0.000475922,0.046678541,0.020540178,
1221_0832_blob_1095,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,Z-11-Tetradecenoic acid,730,bcp_ox_L_blob_787,537,1.57E-05,0.046678541,0.020540178,
1128_1901_blob_1165,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,1-Chloromethyl-1-isopropoxy-1-silacyclohexane,624,myrc_ox_L_blob_812,525,9.04E-06,0.043048537,0.020540178,
1128_1901_blob_1030,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"§-N-Acetylneuraminic acid, methyl ester-2-methyl-7,9-methyl-boronate-3,8-di(trimethylsilyl)-",589,bcp_ox_L_blob_678,511,3.18E-05,0.043048537,0.020540178,
1202_1412_blob_1638,5,FALSE,NA,IEPOX and LOOOA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"9-Trimethylsilyloxydecanoic acid, trimethylsilyl ester",645,limonox_S_blob_687,479,1.32E-05,0.020926693,0.020540178,
1128_1901_fb_add_blob_921,4,FALSE,NA,some HC influence but not clear,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,Yohimban-17-one,636,limonox_S_blob_699,469,0.000114845,0.033971825,0.020540178,
1129_1334_blob_1440,7,FALSE,NA,total myserty,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"1-Penten-3-one, 1-phenyl-",794,apin_ox_L_blob_544,443,2.20E-05,0.057495434,0.020540178,
1221_0832_blob_808,4,FALSE,NA,some HC influence but not clear,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"2(3H)-Furanone, 5-dodecyldihydro-",802,apin_ox_S_blob_751,361,0.000955743,0.033971825,0.020540178,
1128_1901_fb_add_blob_591,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,some anthro influence and IEPOX but none strong,"hexadecanol, TMS",NA,"1-Hexadecanol, TMS derivative",924,bcp_ox_L_blob_18,338,0.000459279,0.043048537,0.020540178,
1221_0832_blob_752,4,FALSE,NA,some HC influence but not clear,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Sulfurous acid, octadecyl 2-propyl ester",784,apin_ox_S_blob_751,328,3.61E-05,0.033971825,0.020540178,
1221_0832_blob_714,4,FALSE,NA,some HC influence but not clear,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Sulfurous acid, butyl heptadecyl ester",807,apin_ox_S_blob_751,321,0.000111877,0.033971825,0.020540178,
1221_0832_blob_1014,7,FALSE,NA,total myserty,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Phthalic acid, butyl undecyl ester",768,apin_ox_S_blob_592,288,9.49E-06,0.057495434,0.020540178,
1221_0832_blob_1009,4,FALSE,NA,some HC influence but not clear,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Sulfurous acid, butyl tetradecyl ester",776,apin_ox_S_blob_592,286,0.000102781,0.033971825,0.020540178,
1129_1334_blob_1218,NA,NA,NA,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,C35,NA,"Heneicosane, 11-(1-ethylpropyl)-",774,limonox_L_blob_543,187,3.13E-05,NA,0.020540178,
1128_1901_blob_993,7,FALSE,NA,total myserty,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Hexadecanal, 2-methyl-",697,myrc_ox_L_blob_655,0,6.21E-06,0.057495434,0.020540178,
1221_0832_blob_674,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"Ethyltriethylene glycol, TBDMS derivative",759,apin_ox_L_blob_550,651,0.000101609,0.043048537,0.003320538,
1128_1901_blob_1722,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"10-Undecynoic acid, TMS derivative",695,limonox_S_blob_734,641,0.001828848,0.043048537,0.003320538,
1128_1901_blob_792,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"Inosose, 2-desoxy-, O-methyloxime, tetrakis-O-(trimethylsilyl)-",538,limonox_L_blob_571,633,2.70E-05,0.046678541,0.003320538,
1221_0832_blob_773,NA,NA,NA,NA,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"Ethyltriethylene glycol, TBDMS derivative",739,apin_ox_L_blob_550,620,0.000214048,NA,0.003320538,
1129_1334_blob_1126,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"3-(2-Methoxyethyl)-1-nonanol, TMS derivative",630,myrc_ox_L_blob_693,615,0.000179923,0.043048537,0.003320538,
1221_2326_blob_754,9,FALSE,NA,some amd HC and BB but none strong,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",656,bcp_ox_L_blob_787,580,5.81E-05,0.348714465,0.003320538,
1221_2326_blob_688,4,FALSE,NA,some HC influence but not clear,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",677,bcp_ox_L_blob_787,522,0.0001453,0.033971825,0.003320538,
1202_0046_blob_928,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"Bicyclo[5.3.0]decan-2-one, 9-(1-phenyl-1-trimethylsilylmethylene)-",700,apin_ox_S_blob_708,501,0.000202136,0.043048537,0.003320538,
1221_0832_blob_8,7,FALSE,NA,total myserty,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"Methyl 2,2-dimethyl-3,6,9,12-tetraoxa-2-silatetradecan-14-oate",822,myrc_ox_L_blob_562,497,0.000402689,0.057495434,0.003320538,
1128_1901_blob_870,4,FALSE,NA,some HC influence but not clear,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"1-Heptadecanol, TMS derivative",843,apin_ox_S_blob_557,460,1.41E-05,0.033971825,0.003320538,
1128_1901_fb_add_blob_607,7,FALSE,NA,total myserty,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",octadecanol,NA,"1-Octadecanol, TMS derivative",901,bcp_ox_L_blob_18,357,0.000264332,0.057495434,0.003320538,
1128_2052_blob_984,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"Callitrisic acid, trimethylsilyl ester",725,limonox_S_blob_687,319,2.16E-05,0.043048537,0.003320538,
1129_1334_blob_1651,11,TRUE,UP,Phthalic acid here; also some bb influence,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"§-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic methylboronate",595,apin_ox_S_blob_592,429,8.99E-06,0.172096193,0.003320538,IOP1_UP
1128_1901_blob_826,6,TRUE,BB,NA,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",646,myrc_ox_L_blob_569,498,0.00014746,0.023154976,0.003320538,IOP1_BB
1129_1334_blob_761,10,TRUE,BB,Levoglucosan here,2,TRUE,NA,"not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"1-Dodecanol, 2-octyl-",831,apin_ox_S_blob_751,328,0.00023534,0.101396088,0.003320538,IOP1_BB
1221_0832_blob_100,11,TRUE,UP,Phthalic acid here; also some bb influence,3,TRUE,UP,strogn urban plume corr and strong IEPOX,phthalic acid,A1,tert-Butylpentamethyldisiloxane,679,limonox_S_blob_633,597,0.002696945,0.172096193,0.230717631,Both_UP
1128_1901_blob_703,11,TRUE,UP,Phthalic acid here; also some bb influence,3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,ISOP3,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",756,myrc_ox_L_blob_619,462,0.001020628,0.172096193,0.230717631,Both_UP
1221_0832_blob_5,11,TRUE,UP,Phthalic acid here; also some bb influence,3,TRUE,UP,strogn urban plume corr and strong IEPOX,MBTCA,MT3,"Pentanedioic acid, 2,2,3-trimethyl-, bis(trimethylsilyl) ester",611,myrc_ox_L_blob_628,541,0.005442321,0.172096193,0.230717631,Both_UP
Blob with BlobID = 334,NA,NA,NA,NA,3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"[2-(2-Ethoxyethoxy)ethoxy]acetic acid, TBDMS derivative",722,NA,NA,0.017181198,NA,0.230717631,IOP2_UP
1128_1901_blob_859,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"Thiourea, 1-(2-chlorophenyl)-3-(pyridin-3-yl)-",564,apin_ox_L_blob_525,856,8.08E-05,0.046678541,0.230717631,IOP2_UP
1128_1901_blob_811,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"t-Butyl(4,5-dihydrofuran-2-yl)dimethylsilane",565,limonox_L_blob_574,855,0.000143443,0.043048537,0.230717631,IOP2_UP
1221_0832_blob_704,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"Cyclopropane, 1-acetyl-2-methylene-1-trimethylsilyl-",613,limonox_S_blob_616,813,0.000441447,0.043048537,0.230717631,IOP2_UP
1221_0832_blob_642,8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"Diethylmalonic acid, 2TMS derivative",687,apin_ox_L_blob_540,747,0.003347538,0.063370583,0.230717631,IOP2_UP
1129_1334_blob_594,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"1,11-Undecanediol, 2TMS derivative",559,myrc_ox_L_blob_706,719,0.002645748,0.046678541,0.230717631,IOP2_UP
1221_0832_blob_882,8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"2-Deoxypentofuranose, 3TMS derivative",660,myrc_ox_L_blob_694,705,0.000412647,0.063370583,0.230717631,IOP2_UP
1202_1412_blob_887,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(butylboronate)",683,limonox_S_blob_725,695,8.46E-05,0.043048537,0.230717631,IOP2_UP
1221_0832_blob_893,7,FALSE,NA,total myserty,3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",634,limonox_S_blob_754,677,0.000257301,0.057495434,0.230717631,IOP2_UP
1129_1334_blob_891,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"D-Erythro-Pentitol, 2-deoxy-1,3,4,5-tetrakis-O-(trimethylsilyl)-",717,apin_ox_L_blob_619,674,0.000161396,0.046678541,0.230717631,IOP2_UP
1221_0832_blob_823,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one, (D)-, 2TMS derivative",688,myrc_ox_L_blob_613,673,0.002952527,0.046678541,0.230717631,IOP2_UP
1202_1412_blob_1064,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"§-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",745,limonox_S_blob_823,664,0.000116075,0.043048537,0.230717631,IOP2_UP
1129_1334_blob_1046,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"2-Isopropyl-3-ketobutyrate, bis(O-trimethylsilyl)-",702,myrc_ox_L_blob_536,660,0.000123088,0.043048537,0.230717631,IOP2_UP
1221_2326_blob_776,4,FALSE,NA,some HC influence but not clear,3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"2-Hydroxycyclohexane-1-carboxylic acid, bis(trimethylsilyl) deriv.",673,myrc_ox_L_blob_682,659,0.000791267,0.033971825,0.230717631,IOP2_UP
1202_1412_blob_1738,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"Citric acid, 3TMS derivative",645,limonox_L_blob_667,650,5.32E-05,0.043048537,0.230717631,IOP2_UP
1221_0832_blob_850,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",695,limonox_S_blob_649,648,0.000142271,0.043048537,0.230717631,IOP2_UP
1129_1334_blob_717,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"a-Ketoglutaric acid, trimethylsilyl ester",692,myrc_ox_L_blob_709,648,8.35E-05,0.046678541,0.230717631,IOP2_UP
1213_2145_blob_672,NA,NA,NA,NA,3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"2-Methyl-1,3-pentanediol, 2TMS derivative",667,apin_ox_S_blob_616,641,0.000243018,NA,0.230717631,IOP2_UP
1202_1412_blob_1013,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"1,3-Dioxolane-4-prop-2-enoic acid, 2,2-dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)propyl]-, methyl ester",596,myrc_ox_L_blob_613,639,0.000976575,0.046678541,0.230717631,IOP2_UP
1221_0832_blob_841,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"Disiloxane, hexamethyl-",783,limonox_S_blob_633,636,0.024880587,0.046678541,0.230717631,IOP2_UP
1221_0832_blob_946,1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"Propanoic acid, 3-(trimethylsilyl)-, ethyl ester",686,myrc_ox_L_blob_609,636,0.000846583,0.046678541,0.230717631,IOP2_UP
1213_2145_blob_639,NA,NA,NA,NA,3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"D-Erythro-Pentitol, 2-deoxy-1,3,4,5-tetrakis-O-(trimethylsilyl)-",695,myrc_ox_L_blob_586,630,0.000226002,NA,0.230717631,IOP2_UP
1221_0832_blob_664,3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"Heptanedioic acid, 3-methyl-, bis(trimethylsilyl) ester",718,apin_ox_S_blob_700,629,0.000292846,0.043048537,0.230717631,IOP2_UP
1221_0832_blob_981,8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",655,myrc_ox_L_blob_801,628,0.000583565,0.063370583,0.230717631,IOP2_UP
1221_0832_blob_977,8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,UP,strogn urban plume corr and strong IEPOX,NA,NA,"Dodecanoic acid, 2,3-bis(acetyloxy)propyl ester",613,limonox_S_blob_790,628,0.000106747,0.063370583,0.230717631,IOP2_UP
