"","Compound.Name","cluster_vol.z1","cluster_vol.z2","cluster_vol.z3","cluster_vol.z4","cluster_vol.z5","cluster_vol.z6","bbvol","anthrovol","cluster","max_corr","Assigned_Option_1","Assigned_Option_2","Assigned_option_3","Assigned_option_4","Notes","BlobID","Library Name","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Library.Molecular.Weight_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","Library.Reverse.Match.Factor_chamber","Library.RI_chamber"
"11","1221_0832_blob_15",-0.113466454,0.024411029,0.186397339,0.427908843,0.207778323,0.947530885,0.24170354,-0.168593885,6,"cluster_vol.z6","6","6","6","6",NA,15,"amz_lib_1221_0832","C14",0,477,2100.740741,1422,"Phthalic acid, 2-methylbutyl pentyl ester",865,866,NA,"C18H26O4",306,"limonox_S_blob_633",257,261,NA
"12","1128_2052_blob_835",0.010083404,-0.046098424,0.046752083,-0.127371685,-0.154310822,0.166061473,0.162011898,-0.124495913,NA,"cluster_vol.z6","6","6","6","6",NA,835,"amz_lib_1128_2052","cedrene",400,420,1456.521739,1449,"Ethanone, 1,1'-(1,3-phenylene)bis-",847,854,NA,"C10H10O2",162,"apin_ox_S_blob_592",447,449,NA
"13","1202_1412_blob_6",-0.106655683,-0.057089897,0.125483773,0.555530485,0.329758263,0.965083967,0.11459449,-0.165655534,6,"cluster_vol.z6","6","6","6","6",NA,6,"amz_lib_1202_1412","anthraquinone",21,213,1993.288591,2017,"Phthalic acid, butyl 3-methylbutyl ester",881,891,NA,"C17H24O4",292,"limonox_S_blob_633",226,232,NA
"14","1206_0924_blob_184",-0.176776106,-0.060416001,-0.000800145,-0.141987416,-0.158154894,0.332098964,0.331907447,-0.221190904,NA,"cluster_vol.z6","6","6","6","6",NA,184,"amz_lib_1206_0924","C7 acid",527,537,1520.441989,NA,"2-Oxooctanoic acid, TMS derivative",684,690,NA,"C11H22O3Si",230,"myrc_ox_L_blob_592",654,655,1528
"15","1128_1901_blob_1684",-0.064339579,-0.072377799,-0.031508985,-0.07643816,-0.107854251,0.031503868,-0.061253464,-0.056026817,NA,"cluster_vol.z6","6","6","6","6",NA,1684,"amz_lib_1128_1901","sinapinaldehyde",359,375,2026.470588,2032,"8-Methoxy-1,3,4,5-tetrahydro-2H-1-benzazepin-2-one, TBDMS derivative",615,637,NA,"C17H27NO2Si",305,"bcp_ox_L_blob_641",433,437,2030
"16","1128_1901_blob_1811",-0.064339579,-0.072377799,-0.031508985,-0.07643816,-0.107854251,0.031503868,-0.061253464,-0.056026817,NA,"cluster_vol.z6","6","6","6","6",NA,1811,"amz_lib_1128_1901","pyrene",187,279,2180.882353,2171,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",559,599,NA,"C14H24O4",256,"bcp_ox_L_blob_988",480,526,2192
"17","1128_1901_blob_1269",-0.15557817,-0.077413653,0.112214363,0.13412056,-0.075958624,0.224504895,0.126202992,-0.309500217,NA,"cluster_vol.z6","6","6","6","6",NA,1269,"amz_lib_1128_1901","C7 acid",465,558,1910.067114,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",700,725,NA,"C13H26BNO6Si",331,"limonox_S_blob_1039",570,657,1903
"18","1202_1412_blob_994",-0.279986458,-0.084492166,0.328324144,0.324494799,0.073935276,0.379951836,0.092314816,-0.212899495,NA,"cluster_vol.z6","6","6","6","6",NA,994,"amz_lib_1202_1412","beta-nocaryophyllinic acid, TMS",608,618,2122.962963,2127,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",643,704,NA,"C18H34OSi",294,"limonox_S_blob_905",537,621,2120
"19","1128_1901_blob_1848",-0.074897399,-0.086157966,-0.054178516,-0.077871939,-0.05132526,0.014048839,-0.120760234,-0.073115848,NA,"cluster_vol.z6","6","6","6","6",NA,1848,"amz_lib_1128_1901","beta-sitosterol",0,482,2301.612903,3406,"Butanoic acid, 4-oxo-4-[(5,6,7,8-tetrahydro-1-naphthalenyl)amino]-",567,642,NA,"C14H17NO3",247,"limonox_S_blob_633",405,524,NA
"20","1206_0924_blob_101",-0.203647943,-0.109347839,-0.095563741,-0.110297147,-0.119647629,0.336976103,0.256268653,-0.24133191,NA,"cluster_vol.z6","6","6","6","6",NA,101,"amz_lib_1206_0924","ketopinic acid",538,538,1530.38674,1530,"Pyruvic acid, TMS derivative",694,798,NA,"C6H12O3Si",160,"apin_ox_L_blob_588",596,603,1530
"21","1128_1901_blob_1109",-0.13071132,-0.114410918,0.348792099,0.231593846,0.000240103,0.382479376,0.21657322,-0.280832511,NA,"cluster_vol.z6","6","6","6","6",NA,1109,"amz_lib_1128_1901","farnesol",542,632,1824.161074,1832,"2-Cyclohexene-1-carboxylic acid, 2-(7-hydroxy-3-methyl-1,3-octadienyl)-1,3-dimethyl-4-oxo-, methyl ester, [R-[R*,S*-(E,E)]]-",661,687,NA,"C19H28O4",320,"bcp_ox_L_blob_628",579,597,1821
"22","1221_0832_blob_928",-0.129414334,-0.121114153,-0.138190303,0.016129956,0.144779969,0.171170237,0.002056341,-0.115920208,NA,"cluster_vol.z6","6","6","6","6",NA,928,"amz_lib_1221_0832","beta-caryophyllonic acid, TMS",599,618,1926.174497,1931,"1-Heptatriacotanol",645,655,NA,"C37H76O",536,"limonox_S_blob_847",539,563,1925
"23","1221_0832_blob_1308",-0.092515779,-0.125918675,-0.023541197,0.135680019,0.138858052,0.256960949,-0.148176167,-0.075892584,NA,"cluster_vol.z6","6","6","6","6",NA,1308,"amz_lib_1221_0832","C7 acid",506,564,2120,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",665,752,NA,"C15H30O5Si",318,"limonox_S_blob_905",547,604,2120
"24","1221_0832_blob_1185",-0.118261224,-0.136965543,-0.045594736,0.219082002,0.113452183,0.241402679,-0.132345134,-0.128380915,NA,"cluster_vol.z6","6","6","6","6",NA,1185,"amz_lib_1221_0832","beta-caryophyllonic acid, TMS",559,673,1946.308725,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",644,655,NA,"C13H26BNO6Si",331,"bcp_ox_L_blob_679",594,604,1943
"25","1221_2326_blob_715",-0.090140635,-0.151537974,-0.042692992,0.212132076,0.286249396,0.307340195,-0.172859661,-0.098145473,NA,"cluster_vol.z6","6","6","6","6",NA,715,"amz_lib_1221_2326","C7 acid",390,411,1867.114094,NA,"5Z,?8Z,?11Z,?14Z-Eeicosatetraenoic acid,? 3-?theinylmethyl ester",645,657,NA,"C25H36O2S",400,"limonox_S_blob_804",521,530,1868
"26","1128_1901_blob_1098",-0.072597483,-0.154742253,0.122225014,0.137172327,0.140321326,0.321687273,0.074514056,-0.255083416,NA,"cluster_vol.z6","6","6","6","6",NA,1098,"amz_lib_1128_1901","vanillin",327,332,1563.043478,1558,"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-, (R)-",761,825,1532,"C11H16O2",180,"bcp_ox_L_blob_631",557,557,1571
"27","1128_1901_blob_1316",-0.13355357,-0.176678916,-0.041825351,0.388926542,0.191700279,0.602342663,0.029054447,-0.270607593,NA,"cluster_vol.z6","6","6","6","6",NA,1316,"amz_lib_1128_1901","C7 acid",379,514,1979.865772,NA,"4,6-Dioxa-3,7-disilanonane, 2,2,3,3,7,7,8,8-octamethyl-5-[2-methyl-2-(4-methyl-3-pentenyl)cyclopropyl]-, trans-",621,638,NA,"C23H48O2Si2",412,"limonox_S_blob_757",575,648,1967
"28","1128_2052_blob_1196",-0.132695215,-0.17830062,-0.230830159,-0.0957751,-0.158765208,0.133643609,-0.17722974,-0.135823204,NA,"cluster_vol.z6","6","6","6","6",NA,1196,"amz_lib_1128_2052","squalene",376,477,2870.707071,2868,"(t-Butyl-dimethylsilyl)[2-methyl-2-(4-methyl-pent-3-enyl)-cyclopropyl]-methanol",538,640,NA,"C17H34OSi",282,"limonox_L_blob_543",428,518,NA
"29","1221_2326_blob_754",-0.142875783,-0.181564769,-0.119989968,0.212851938,0.085684966,0.229301497,-0.180285348,-0.148132916,NA,"cluster_vol.z6","6","6","6","6",NA,754,"amz_lib_1221_2326","C7 acid",474,514,2111.111111,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",656,675,NA,"C18H34OSi",294,"bcp_ox_L_blob_787",580,615,2100
"30","1202_1412_blob_987",-0.316691308,-0.229516267,0.291367225,0.119761787,0.005825909,0.414270941,0.038084291,-0.349103737,3,"cluster_vol.z6","3","3","6","6",NA,987,"amz_lib_1202_1412","beta-caryophyllene aldehyde",628,668,1721.212121,1715,"5,6,6-Trimethyl-5-(3-oxobut-1-enyl)-1-oxaspiro[2.5]octan-4-one",757,776,NA,"C14H20O3",236,"limonox_S_blob_646",573,602,1711
"31","1221_0832_blob_846",-0.311553601,-0.232589875,-0.029022855,0.418353817,0.186557298,0.753919545,0.06076623,-0.351584538,6,"cluster_vol.z6","6","6","6","6",NA,846,"amz_lib_1221_0832","C7 acid",281,416,2044.444444,NA,"Phthalic acid, butyl 3-methylbutyl ester",823,896,NA,"C17H24O4",292,"bcp_ox_L_blob_771",352,358,2035
"32","1202_0046_blob_1342",-0.133556708,-0.284476317,-0.056066348,0.429294274,0.311284568,0.449799558,-0.271312579,-0.243210263,NA,"cluster_vol.z6","6","6","6","6",NA,1342,"amz_lib_1202_0046","C7 acid",399,529,2160.294118,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",667,705,NA,"C13H26BNO6Si",331,"limonox_S_blob_687",424,547,NA
"33","1213_2145_blob_1481",0.37292723,0.343601872,0.07994611,0.384611094,0.519385178,0.178851647,0.139075161,0.341035784,NA,"cluster_vol.z5","5","5","5","5",NA,1481,"amz_lib_1213_2145","C7 acid",465,543,2176.470588,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",627,637,NA,"C28H50O4Si2",506,"limonox_S_blob_687",477,581,NA
"34","1128_1901_blob_1019",0.277084231,0.320717678,0.243979925,0.135420596,0.390460465,0.110890235,0.117286799,0.32581489,NA,"cluster_vol.z5","5","5","5","5",NA,1019,"amz_lib_1128_1901","C7 acid",527,554,1560.869565,NA,"Tripropylene glycol monomethyl ether, TMS derivative",792,848,NA,"C13H30O4Si",278,"myrc_ox_L_blob_584",558,568,1567
"35","1128_1901_blob_1203",0.089344661,0.239414227,0.169472802,0.134064734,0.536828563,0.041464125,0.120739499,0.272724291,NA,"cluster_vol.z5","5","5","5","5",NA,1203,"amz_lib_1128_1901","C7 acid",560,574,1550,NA,"Tripropylene glycol monomethyl ether, TMS derivative",821,847,NA,"C13H30O4Si",278,"apin_ox_S_blob_645",543,547,1545
"36","1221_0832_blob_647",0.261523631,0.216477399,0.048522159,0.34628959,0.611621176,0.082150853,0.049148987,0.206464281,NA,"cluster_vol.z5","5","5","5","5",NA,647,"amz_lib_1221_0832","C7 acid",546,551,1820.134228,NA,"Tripropylene glycol monomethyl ether, TMS derivative",804,814,NA,"C13H30O4Si",278,"myrc_ox_L_blob_801",544,547,1819
"37","1221_0832_blob_893",0.248984618,0.199114731,0.033613595,0.207771644,0.544158144,0.032246945,0.07233541,0.203775762,NA,"cluster_vol.z5","5","5","5","5",NA,893,"amz_lib_1221_0832","farnesol",513,573,1836.241611,1832,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",634,648,NA,"C13H26BNO6Si",331,"limonox_S_blob_754",677,697,1831
"38","1221_0832_blob_836",0.106402211,0.18809685,0.018528114,0.480276377,0.655144032,0.200426889,0.051664845,0.175843293,NA,"cluster_vol.z5","5","5","5","5",NA,836,"amz_lib_1221_0832","C7 acid",538,545,1805.369128,NA,"Tripropylene glycol monomethyl ether, TMS derivative",790,810,NA,"C13H30O4Si",278,"apin_ox_S_blob_648",524,531,1805
"39","1221_0832_blob_1221",0.030687224,0.176668384,0.026267973,0.232897875,0.34627936,0.09373852,0.133346444,0.157002819,NA,"cluster_vol.z5","5","5","5","5",NA,1221,"amz_lib_1221_0832","mannosan",472,512,1706.097561,1706,"l-Galactopyranose, 6-deoxy-1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",625,695,NA,"C13H29BO5Si2",332,"limonox_S_blob_923",554,636,1699
"40","1221_0832_blob_1098",0.002582832,0.175322224,0.144785496,0.12406229,0.182803484,0.063296286,0.1571699,0.170291682,NA,"cluster_vol.z5","5","5","5","5",NA,1098,"amz_lib_1221_0832","galactosan",564,585,1682.926829,1684,"2-Deoxypentofuranose, 3TMS derivative",676,714,NA,"C14H34O4Si3",350,"apin_ox_L_blob_551",627,698,1667
"41","1128_1901_blob_1295",0.194380879,0.156103862,-0.001180859,0.089694361,0.48582361,-0.053633892,0.025545046,0.177614253,NA,"cluster_vol.z5","5","5","5","5",NA,1295,"amz_lib_1128_1901","mannosan",480,584,1696.969697,1706,"1,4-Heptadiene, 6-methyl-5,6-bis(trimethylsilyloxy)-",613,646,NA,"C14H30O2Si2",286,"limonox_S_blob_923",560,600,1699
"42","1129_1334_blob_1440",0.194380879,0.156103862,-0.001180859,0.089694361,0.48582361,-0.053633892,0.025545046,0.177614253,NA,"cluster_vol.z5","5","5","5","5",NA,1440,"amz_lib_1129_1334","C7 acid",335,339,1604.848485,NA,"1-Penten-3-one, 1-phenyl-",794,838,NA,"C11H12O",160,"apin_ox_L_blob_544",443,474,1608
"43","1129_1334_blob_1992",0.194380879,0.156103862,-0.001180859,0.089694361,0.48582361,-0.053633892,0.025545046,0.177614253,NA,"cluster_vol.z5","5","5","5","5",NA,1992,"amz_lib_1129_1334","Humulene",510,604,1488.043478,1490,"5-Dimethyl(trimethylsilyl)silyloxytridecane",583,665,NA,"C18H42OSi2",330,"apin_ox_S_blob_662",593,657,1502
"44","1128_1901_blob_1515",0.181646645,0.153984848,0.027195325,0.097036524,0.463852911,-0.056656093,0.040744515,0.163119045,NA,"cluster_vol.z5","5","5","5","5",NA,1515,"amz_lib_1128_1901","mannosan",513,568,1713.939394,1706,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",638,663,NA,"C13H26BNO6Si",331,"limonox_L_blob_599",591,641,1707
"45","1213_2145_blob_1113",-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.130378568,0.123496405,NA,"cluster_vol.z5","5","5","5","5",NA,1113,"amz_lib_1213_2145","C7 acid",457,540,2094.117647,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,679,NA,"C13H26BNO6Si",331,"limonox_S_blob_1216",528,596,2098
"46","1221_0832_blob_1233",-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.130378568,0.123496405,NA,"cluster_vol.z5","5","5","5","5",NA,1233,"amz_lib_1221_0832","mannosan",545,572,1713.414634,1706,"2-Deoxypentofuranose, 3TMS derivative",632,664,NA,"C14H34O4Si3",350,"myrc_ox_L_blob_709",622,648,1709
"47","1221_0832_blob_691",-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.130378568,0.123496405,NA,"cluster_vol.z5","5","5","5","5",NA,691,"amz_lib_1221_0832","farnesol",449,462,1834.899329,1832,"Ethyl a-D-glucopyranoside, 4TMS derivative",721,789,NA,"C20H48O6Si4",496,"apin_ox_S_blob_616",540,585,1823
"48","1221_0832_blob_732",-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.130378568,0.123496405,NA,"cluster_vol.z5","5","5","5","5",NA,732,"amz_lib_1221_0832","C7 acid",508,516,2048.888889,NA,"Pentaethylene glycol, 2TMS derivative",814,820,2007,"C16H38O6Si2",382,"limonox_S_blob_633",507,514,NA
"49","1221_0832_blob_909",-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.130378568,0.123496405,NA,"cluster_vol.z5","5","5","5","5",NA,909,"amz_lib_1221_0832","C7 acid",458,531,1958.389262,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",644,653,NA,"C13H26BNO6Si",331,"limonox_S_blob_685",591,613,1963
"50","1221_0832_blob_954",-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.130378568,0.123496405,NA,"cluster_vol.z5","5","5","5","5",NA,954,"amz_lib_1221_0832","C7 acid",392,505,1897.986577,NA,"2-Isopropyl-3-ketobutyrate, bis(O-trimethylsilyl)-",615,673,NA,"C13H28O3Si2",288,"limonox_S_blob_725",650,667,1893
"51","1221_0832_blob_976",-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.130378568,0.123496405,NA,"cluster_vol.z5","5","5","5","5",NA,976,"amz_lib_1221_0832","C7 acid",544,592,1916.778523,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",672,727,NA,"C15H30O5Si",318,"limonox_S_blob_847",571,596,1925
"52","1221_0832_blob_977",-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.130378568,0.123496405,NA,"cluster_vol.z5","5","5","5","5",NA,977,"amz_lib_1221_0832","C7 acid",475,524,1771.95122,NA,"Dodecanoic acid, 2,3-bis(acetyloxy)propyl ester",613,648,NA,"C19H34O6",358,"limonox_S_blob_790",628,656,1768
"53","1221_0832_blob_1165",0.036312059,0.1439196,-0.027253727,0.299164019,0.475384657,0.091813113,0.051299606,0.13238794,NA,"cluster_vol.z5","5","5","5","5",NA,1165,"amz_lib_1221_0832","C7 acid",519,536,2066.666667,NA,"Tripropylene glycol monomethyl ether, TMS derivative",735,789,NA,"C13H30O4Si",278,"limonox_S_blob_583",519,563,2078
"54","1221_0832_blob_862",0.074561528,0.12499075,-0.051777693,0.310356613,0.634647118,0.071349313,2.77e-05,0.142481381,NA,"cluster_vol.z5","5","5","5","5",NA,862,"amz_lib_1221_0832","C7 acid",538,561,1826.845638,NA,"Tripropylene glycol monomethyl ether, TMS derivative",776,815,NA,"C13H30O4Si",278,"myrc_ox_L_blob_801",594,601,1819
"55","1221_0832_blob_1301",-0.08843871,0.124945564,0.004291185,0.209188013,0.210362668,0.115571586,-0.018292647,0.026034627,NA,"cluster_vol.z5","5","5","5","5",NA,1301,"amz_lib_1221_0832","pinic acid 1",536,602,1692.682927,1692,"2-Propenoic acid, 3-[5-(2-hydroxypropyl)-2,2-dimethyl-1,3-dioxolan-4-yl]-, TBDMS derivative",636,640,NA,"C17H32O5Si",344,"limonox_S_blob_665",598,660,1691
"56","1202_0046_blob_1236",0.045600865,0.121779663,-0.02886226,0.256029922,0.511649531,0.055386891,0.02311108,0.124928609,NA,"cluster_vol.z5","5","5","5","5",NA,1236,"amz_lib_1202_0046","C7 acid",556,579,1581.420765,NA,"Tripropylene glycol monomethyl ether, TMS derivative",775,814,NA,"C13H30O4Si",278,"apin_ox_S_blob_572",530,586,1565
"57","1221_0832_blob_948",-0.032363603,0.111879416,-0.010537589,0.262019463,0.276074533,0.116802836,0.07368602,0.08621579,NA,"cluster_vol.z5","5","5","5","5",NA,948,"amz_lib_1221_0832","C7 acid",543,584,1791.463415,NA,"Ethyl 3-hydroxy-2,2-dimethylbutanoate, TMS derivative",720,773,NA,"C11H24O3Si",232,"apin_ox_S_blob_590",576,595,1795
"58","1221_0832_blob_899",-0.037928277,0.099885351,0.001009445,0.219148893,0.258230021,0.119931808,0.076050557,0.094371636,NA,"cluster_vol.z5","5","5","5","5",NA,899,"amz_lib_1221_0832","C10 diacid (sebacic acid)",642,645,1922.147651,1922,"2-Bromosebacic acid, 2TMS derivative",679,726,NA,"C16H33BrO4Si2",424,"limonox_S_blob_847",566,593,1925
"59","1221_0832_blob_1177",-0.047726305,0.098294136,-0.010317339,0.279095178,0.299893255,0.114060904,0.089504257,0.077247044,NA,"cluster_vol.z5","5","5","5","5",NA,1177,"amz_lib_1221_0832","C7 acid",438,509,1753.658537,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",641,653,NA,"C13H26BNO6Si",331,"limonox_S_blob_888",617,649,1750
"60","1221_0832_blob_1033",-0.043325716,0.086789599,-0.004644084,0.213382918,0.252363668,0.119679923,0.062219375,0.085514494,NA,"cluster_vol.z5","5","5","5","5",NA,1033,"amz_lib_1221_0832","C7 acid",367,497,1995.973154,NA,"4,6-Dioxa-3,7-disilanonane, 2,2,3,3,7,7,8,8-octamethyl-5-[2-methyl-2-(4-methyl-3-pentenyl)cyclopropyl]-, trans-",596,600,NA,"C23H48O2Si2",412,"limonox_S_blob_788",481,518,1989
"61","1221_0832_blob_791",-0.053135446,0.066857567,0.015415043,0.26506987,0.295929224,0.233539469,0.040537359,0.070042211,NA,"cluster_vol.z5","5","5","5","5",NA,791,"amz_lib_1221_0832","C7 acid",558,575,1861.744966,NA,"Tripropylene glycol monomethyl ether, TMS derivative",749,790,NA,"C13H30O4Si",278,"limonox_S_blob_649",532,538,1868
"62","1221_0832_blob_974",0.225652279,0.0576155,0.004285966,0.31413163,0.481301594,0.09791946,-0.040595092,0.076117661,NA,"cluster_vol.z5","5","5","5","5",NA,974,"amz_lib_1221_0832","C7 acid",470,544,1725.609756,NA,"7-Oxooctanoic acid, 2-trimethylsilylethyl ester",610,674,NA,"C13H26O3Si",258,"limonox_S_blob_775",577,613,1722
"63","1221_0832_blob_565",0.186461623,0.05206454,-0.094683057,0.218864494,0.628430822,-0.024364172,-0.279543097,0.201051213,5,"cluster_vol.z5","5","5","5","5",NA,565,"amz_lib_1221_0832","C7 acid",453,472,1590.10989,NA,"Diethanolamine, 2TMS derivative",705,754,NA,"C10H27NO2Si2",249,"myrc_ox_L_blob_622",523,526,1592
"64","1221_0832_blob_1211",-0.067433824,0.049745546,-0.045691847,0.263139986,0.276510478,0.129254675,0.001593596,0.044299712,NA,"cluster_vol.z5","5","5","5","5",NA,1211,"amz_lib_1221_0832","C7 acid",527,600,2017.777778,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",656,661,NA,"C28H50O4Si2",506,"limonox_S_blob_687",508,585,NA
