BlobID,Compound.Name,Library Name,Library Match Factor,Library Reverse Match Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
678,1128_1901_blob_678,amz_lib_1128_1901,999,999,C26,889,889,2646.728972,2649,"Eicosane, 7-hexyl-",858,858,,C26H54,366,limonox_S_blob_969,0,561,1378
687,1128_1901_blob_687,amz_lib_1128_1901,999,999,C7 acid,594,669,2379.032258,,"Nonadecanoic acid, TMS derivative",869,871,2346,C22H46O2Si,370,bcp_ox_L_blob_18,530,595,
694,1128_1901_blob_694,amz_lib_1128_1901,999,999,C7 acid,595,662,2783.17757,,Trimethylsilyl tricosanoate,843,862,2732,C26H54O2Si,426,bcp_ox_L_blob_18,538,601,
702,1128_1901_blob_702,amz_lib_1128_1901,999,999,C7 acid,584,649,3050,,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",712,830,,C14H29FO2Si,276,limonox_S_blob_687,533,600,
703,1128_1901_blob_703,amz_lib_1128_1901,999,999,C7 acid,308,437,1413.043478,,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",756,763,,C10H22O3Si2,246,myrc_ox_L_blob_619,462,486,1402
718,1128_1901_blob_718,amz_lib_1128_1901,999,999,"2-Ketoglutaric acid, tri-TMS",153,542,1655.757576,1629,"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-ß,3,4-tris[(trimethylsilyl)oxy]-",663,781,,C24H34F5NO3Si3,563,limonox_S_blob_787,766,774,1657
719,1128_1901_blob_719,amz_lib_1128_1901,999,999,nonanol,310,326,1305.780133,1305,"(1R,2R,3S,5R)-(-)-2,3-Pinanediol",693,773,,C10H18O2,170,apin_ox_L_blob_536,766,889,1291
720,1128_1901_blob_720,amz_lib_1128_1901,999,999,C7 acid,577,677,2020.588235,,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",672,841,,C14H29FO2Si,276,limonox_S_blob_687,538,635,
725,1128_1901_blob_725,amz_lib_1128_1901,999,999,C7 acid,566,674,1747.878788,,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",634,813,,C14H29FO2Si,276,myrc_ox_L_blob_694,558,610,1746
726,1128_1901_blob_726,amz_lib_1128_1901,999,999,C7 acid,580,648,2959.59596,,"Pentacosanoic acid, trimethylsilyl ester",776,819,2923,C28H58O2Si,454,limonox_S_blob_687,541,614,
729,1128_1901_blob_729,amz_lib_1128_1901,999,999,C7 acid,580,657,1816.107383,,"9-Tetradecenoic acid, (E)-, TMS derivative",674,719,,C17H34O2Si,298,myrc_ox_L_blob_801,586,612,1819
734,1128_1901_blob_734,amz_lib_1128_1901,999,999,C7 acid,435,499,1846.979866,,"2-Methyl-3,5-heptadiene, 7-trimethylsilyl-2,3-bis(trimethylsilyloxy)-",636,693,,C17H38O2Si3,358,limonox_L_blob_611,534,572,1835
735,1128_1901_blob_735,amz_lib_1128_1901,999,999,C7 acid,417,466,1658.181818,,"L-(+)-Tartaric acid, 4TMS derivative",787,797,1622,C16H38O6Si4,438,apin_ox_L_blob_551,611,696,1667
739,1128_1901_blob_739,amz_lib_1128_1901,999,999,C7 acid,407,579,1677.575758,,"Thiazolo[5,4-f]quinoline, 7,9-dimethyl-",649,814,,C12H10N2S,214,limonox_S_blob_720,504,509,1675
740,1128_1901_blob_740,amz_lib_1128_1901,999,999,C7 acid,569,630,2350,,"9-Tetradecenoic acid, (E)-, TMS derivative",732,801,,C17H34O2Si,298,bcp_ox_L_blob_18,541,603,
741,1128_1901_blob_741,amz_lib_1128_1901,999,999,C7 acid,330,499,2164.705882,,"Thiazolo[4,5-f]quinoline, 2,7,9-trimethyl-",633,796,,C13H12N2S,228,limonox_S_blob_687,328,491,
742,1128_1901_blob_742,amz_lib_1128_1901,999,999,C29,0,499,1632.727273,2955,"1,4-Dioxaspiro[5,5]undecan-3-one",629,672,,C9H14O3,170,limonox_L_blob_689,827,847,1628
752,1128_1901_blob_752,amz_lib_1128_1901,999,999,erythreitol,550,566,1529.347826,1528,"Tartaric acid (2R,3R)-, 3TMS derivative",725,737,,C13H30O6Si3,366,myrc_ox_L_blob_592,588,662,1528
753,1128_1901_blob_753,amz_lib_1128_1901,999,999,monostearin TMS,654,708,2794.392523,2788,"2-Oleoylglycerol, 2TMS derivative",729,772,2744,C27H56O4Si2,500,limonox_S_blob_633,483,603,
756,1128_1901_blob_756,amz_lib_1128_1901,999,999,farnesol,307,611,1798.787879,1832,"9,12,15-Octadecatrienoic acid, 2,3-dihydroxypropyl ester, (Z,Z,Z)-",730,737,,C21H36O4,352,bcp_ox_L_blob_8,833,846,1799
760,1128_1901_blob_760,amz_lib_1128_1901,999,999,C7 acid,557,645,1720,,"10,12-Docosadiynedioic acid, 2TMS derivative",631,633,,C28H50O4Si2,506,limonox_S_blob_645,560,582,1712
765,1128_1901_blob_765,amz_lib_1128_1901,999,999,C7 acid,488,537,1612.121212,,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",661,676,,C13H27Cl3O4Si2,408,myrc_ox_L_blob_627,628,710,1628
774,1128_1901_blob_774,amz_lib_1128_1901,999,999,C7 acid,341,397,2939.393939,,"Cholesta-4,6-dien-3-ol, (3ß)-",879,898,,C27H44O,384,apin_ox_S_blob_592,324,387,
779,1128_1901_blob_779,amz_lib_1128_1901,999,999,C7 acid,605,680,2443.478261,,"Hexadecanoic acid, 3,7,11,15-tetramethyl-, trimethylsilyl ester",687,720,,C23H48O2Si,384,limonox_S_blob_701,562,597,
781,1128_1901_blob_781,amz_lib_1128_1901,999,999,C7 acid,409,472,2593.043478,,"2-Palmitoylglycerol, 2TMS derivative",813,820,2558,C25H54O4Si2,474,limonox_S_blob_633,505,613,
784,1128_1901_blob_784,amz_lib_1128_1901,999,999,C7 acid,433,491,1569.565217,,"2-Hydroxycyclohexane-1-carboxylic acid, bis(trimethylsilyl) deriv.",742,799,,C13H28O3Si2,288,myrc_ox_L_blob_682,689,699,1567
786,1128_1901_blob_786,amz_lib_1128_1901,999,999,C7 acid,423,466,2563.478261,,"2-Mono-isobutyrin, 2TMS derivative",629,779,,C13H30O4Si2,306,limonox_S_blob_687,489,563,
789,1128_1901_blob_789,amz_lib_1128_1901,999,999,C8 acid,548,567,1275.050207,1280,"Diethylene glycol, 2TMS derivative",781,872,1233,C10H26O3Si2,250,limonox_S_blob_619,735,816,1259
790,1128_1901_blob_790,amz_lib_1128_1901,999,999,Me-OH-glutatric acid,475,544,1621.818182,1623,"1,4-Heptadiene, 6-methyl-5,6-bis(trimethylsilyloxy)-",637,701,,C14H30O2Si2,286,limonox_L_blob_582,688,702,1619
792,1128_1901_blob_792,amz_lib_1128_1901,999,999,Me-OH-glutatric acid,458,542,1619.393939,1623,"Inosose, 2-desoxy-, O-methyloxime, tetrakis-O-(trimethylsilyl)-",538,553,,C19H45NO5Si4,479,limonox_L_blob_571,633,647,1613
794,1128_1901_blob_794,amz_lib_1128_1901,999,999,C7 acid,387,483,1732.121212,,"4-Chloro-3-nitrobenzyl alcohol, TMS derivative",544,550,,C10H14ClNO3Si,259,apin_ox_L_blob_525,873,877,1732
797,1128_1901_blob_797,amz_lib_1128_1901,999,999,erythreitol,547,740,1551.086957,1528,"D-(+)-Xylose, tetrakis(trimethylsilyl) ether, ethyloxime (isomer 1)",750,766,,C19H47NO5Si4,481,myrc_ox_L_blob_584,538,610,1567
801,1128_1901_blob_801,amz_lib_1128_1901,999,999,C7 acid,355,357,1313.489031,,"Diethanolamine, 2TMS derivative",869,876,,C10H27NO2Si2,249,myrc_ox_L_blob_545,403,403,1306
802,1128_1901_blob_802,amz_lib_1128_1901,999,999,C7 acid,378,437,1595.652174,,"ß-D-Glucopyranoside, methyl-4-O-decyl-",609,613,,C17H34O6,334,myrc_ox_L_blob_754,660,669,1588
806,1128_1901_blob_806,amz_lib_1128_1901,999,999,"linoleic Acid, TMS",379,518,2233.870968,2245,"Hexadecane-1,2-diol, 2TMS derivative",799,855,,C22H50O2Si2,402,limonox_S_blob_633,493,649,
808,1128_1901_blob_808,amz_lib_1128_1901,999,999,C7 acid,527,556,1200.918759,,"Acetin, bis-1,3-trimethylsilyl ether",807,808,,C11H26O4Si2,278,limonox_S_blob_633,568,592,
811,1128_1901_blob_811,amz_lib_1128_1901,999,999,ketopinic acid,480,481,1531.521739,1530,"t-Butyl(4,5-dihydrofuran-2-yl)dimethylsilane",565,586,,C10H20OSi,184,limonox_L_blob_574,855,857,1530
814,1128_1901_blob_814,amz_lib_1128_1901,999,999,C7 acid,448,579,3158.695652,,2-Ketoadipic acid eo-tbdms,606,632,,C20H41NO5Si2,431,limonox_S_blob_687,424,575,
818,1128_1901_blob_818,amz_lib_1128_1901,999,999,C7 acid,514,645,2132.352941,,"Nandrolone, TMS derivative",608,655,,C21H34O2Si,346,limonox_S_blob_905,472,586,2120
819,1128_1901_blob_819,amz_lib_1128_1901,999,999,"beta-caryophyllonic acid, TMS",42,626,1994.630872,1931,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",750,816,,C20H32,272,bcp_ox_L_blob_813,560,562,1990
820,1128_1901_blob_820,amz_lib_1128_1901,999,999,tridecanal,0,581,2285.483871,1537,"Pyrrolo[1,2-a]pyrazine-3-propanamide, 2,3,6,7,8,8a-hexahydro-1,4-dioxo-",647,688,,C10H15N3O3,225,limonox_S_blob_914,0,511,1788
825,1128_1901_blob_825,amz_lib_1128_1901,999,999,C28,826,835,2850.505051,2852,"Eicosane, 7-hexyl-",820,826,,C26H54,366,myrc_ox_L_blob_655,0,583,1611
826,1128_1901_blob_826,amz_lib_1128_1901,999,999,"cis-Vaccenic Acid, TMS",626,659,2262.903226,2259,"10,12-Docosadiynedioic acid, 2TMS derivative",646,656,,C28H50O4Si2,506,myrc_ox_L_blob_569,498,598,2275
836,1128_1901_blob_836,amz_lib_1128_1901,999,999,C7 acid,419,520,2530.434783,,"Pentadecanoic acid, glycerine-(1)-monoester, bis-O-trimethylsilyl-",710,819,2512,C24H52O4Si2,460,limonox_S_blob_633,478,654,
837,1128_1901_blob_837,amz_lib_1128_1901,999,999,squalene,560,856,2834.343434,2868,"2,6,10,14,18-Pentamethyl-2,6,10,14,18-eicosapentaene",799,803,,C25H42,342,apin_ox_S_blob_751,329,347,
843,1128_1901_blob_843,amz_lib_1128_1901,999,999,C24,809,812,2441.73913,2443,"Pentadecane, 8-hexyl-",835,844,,C21H44,296,myrc_ox_L_blob_655,0,606,1611
844,1128_1901_blob_844,amz_lib_1128_1901,999,999,C7 acid,358,568,1573.913043,,"2,6-Bis(trimethylsilylmethyl)pyridine",589,618,,C13H25NSi2,251,limonox_S_blob_746,405,484,1576
845,1128_1901_blob_845,amz_lib_1128_1901,999,999,"linoleic Acid, TMS",591,608,2241.935484,2245,"α-D-Glucofuranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,5-bis(butylboronate)",627,645,,C17H34B2O6Si,384,limonox_S_blob_687,467,600,
853,1128_1901_blob_853,amz_lib_1128_1901,999,999,C7 acid,526,585,2412.173913,,"5,8,11-Eicosatrienoic acid, (Z)-, TMS derivative",807,820,2371,C23H42O2Si,378,limonox_S_blob_687,499,582,
854,1128_1901_blob_854,amz_lib_1128_1901,999,999,C23,828,836,2340.322581,2341,"Eicosane, 7-hexyl-",814,816,,C26H54,366,bcp_ox_L_blob_1289,61,484,2265
858,1128_1901_blob_858,amz_lib_1128_1901,999,999,C7 acid,340,371,2094.117647,,"Hexanoic acid, 2-ethyl-, anhydride",621,810,,C16H30O3,270,bcp_ox_L_blob_989,453,456,2087
859,1128_1901_blob_859,amz_lib_1128_1901,999,999,C7 acid,383,472,1727.272727,,"Thiourea, 1-(2-chlorophenyl)-3-(pyridin-3-yl)-",564,598,,C12H10ClN3S,263,apin_ox_L_blob_525,856,866,1732
860,1128_1901_blob_860,amz_lib_1128_1901,999,999,C7 acid,406,476,1865.771812,,"α-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",650,662,,C13H26BNO6Si,331,limonox_S_blob_649,589,623,1868
868,1128_1901_blob_868,amz_lib_1128_1901,999,999,"cis-Vaccenic Acid, TMS",399,401,2262.903226,2259,"Thiourea, 1-(2-chlorophenyl)-3-(pyridin-3-yl)-",627,655,,C12H10ClN3S,263,bcp_ox_L_blob_18,352,504,
869,1128_1901_blob_869,amz_lib_1128_1901,999,999,"beta-caryophyllonic acid, TMS",440,488,1924.832215,1931,"N-Acetyltyrosine, 2TMS derivative",673,701,,C17H29NO4Si2,367,limonox_S_blob_847,455,508,1925
870,1128_1901_blob_870,amz_lib_1128_1901,999,999,C16 Acid,492,580,2091.176471,2078,"1-Heptadecanol, TMS derivative",843,855,2054,C20H44OSi,328,apin_ox_S_blob_557,460,499,2078
871,1128_1901_blob_871,amz_lib_1128_1901,999,999,C7 acid,455,479,2362.903226,,"10-Pentadecen-1-ol, (Z)-, TMS derivative",781,826,,C18H38OSi,298,apin_ox_S_blob_751,504,555,
878,1128_1901_blob_878,amz_lib_1128_1901,999,999,"beta-caryophyllonic acid, TMS",584,589,1936.912752,1931,"α-D-Mannofuranoside, 1-O-decyl-",637,665,,C16H32O6,320,apin_ox_S_blob_751,506,566,
879,1128_1901_blob_879,amz_lib_1128_1901,999,999,C7 acid,451,472,1359.74242,,"Citronellol, TMS derivative",711,715,1308,C13H28OSi,228,apin_ox_S_blob_581,876,879,1354
880,1128_1901_blob_880,amz_lib_1128_1901,999,999,squalene,486,846,2828.282828,2868,"Docosa-2,6,10,14,18-pentaen-22-al, 2,6,10,15,18-pentamethyl-, all-trans",793,804,,C27H44O,384,apin_ox_S_blob_592,304,334,
883,1128_1901_blob_883,amz_lib_1128_1901,999,999,C7 acid,468,555,2333.870968,,"2-Oxooctanoic acid, TMS derivative",648,780,,C11H22O3Si,230,limonox_S_blob_687,483,584,
886,1128_1901_blob_886,amz_lib_1128_1901,999,999,C7 acid,526,554,1208.521984,,"Acetin, bis-1,3-trimethylsilyl ether",794,796,,C11H26O4Si2,278,limonox_S_blob_633,562,587,
889,1128_1901_blob_889,amz_lib_1128_1901,999,999,"beta-caryophyllonic acid, TMS",480,670,1908.724832,1931,"4-Hexenoic acid, 4-methyl-6-(fluorodimethylsilyl)-6-trimethylsilyl-",629,649,,C12H25FO2Si2,276,bcp_ox_L_blob_23,565,628,1891
895,1128_1901_blob_895,amz_lib_1128_1901,999,999,C7 acid,502,570,2150,,"α-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",662,681,,C13H26BNO6Si,331,limonox_S_blob_687,510,604,
896,1128_1901_blob_896,amz_lib_1128_1901,999,999,C7 acid,394,521,1793.939394,,"α-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",622,641,,C16H37BO6Si3,420,myrc_ox_L_blob_727,582,682,1774
897,1128_1901_blob_897,amz_lib_1128_1901,999,999,C7 acid,346,503,2362.903226,,"Thiourea, 1-(2-chlorophenyl)-3-(pyridin-3-yl)-",625,640,,C12H10ClN3S,263,limonox_S_blob_687,349,511,
900,1128_1901_blob_900,amz_lib_1128_1901,999,999,C7 acid,580,675,2141.176471,,"9-Tetradecenoic acid, (E)-, TMS derivative",660,757,,C17H34O2Si,298,limonox_S_blob_687,524,618,
901,1128_1901_blob_901,amz_lib_1128_1901,999,999,C7 acid,458,527,1582.608696,,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",602,621,,C14H28O4Si2,316,apin_ox_L_blob_556,776,796,1582
903,1128_1901_blob_903,amz_lib_1128_1901,999,999,pinonic acid,577,594,1547.826087,1550,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",655,673,,C15H30O4Si,302,myrc_ox_L_blob_609,650,669,1543
906,1128_1901_blob_906,amz_lib_1128_1901,999,999,levoglucosan,473,537,1734.545455,1726,"3-Hydroxyhex-2-enedioic acid, trimethylsilyl ether, bis(trimethylsilyl) ester",644,651,,C15H32O5Si3,376,apin_ox_L_blob_553,592,648,1726
911,1128_1901_blob_911,amz_lib_1128_1901,999,999,C7 acid,476,533,1509.782609,,"Cyclohexanemethanol, 1,6-dimethyl-2-[(2-trimethylsilyl)ethoxymethoxy]-, [1R-(1α,2α,6ß)-",642,653,,C15H32O3Si,288,limonox_S_blob_707,618,626,1515
912,1128_1901_blob_912,amz_lib_1128_1901,999,999,C7 acid,370,376,1408.695652,,"1,2,4,5-Tetrazine, 1,4-diethylhexahydro-",600,785,,C6H16N4,144,bcp_ox_L_blob_614,416,460,1418
917,1128_1901_blob_917,amz_lib_1128_1901,999,999,C7 acid,592,664,2580.869565,,"Heneicosanoic acid, TMS derivative",752,765,2534,C24H50O2Si,398,limonox_S_blob_687,543,614,
919,1128_1901_blob_919,amz_lib_1128_1901,999,999,C7 acid,540,617,2329.032258,,"11,14-Eicosadienoic acid, TMS derivative",669,730,,C23H44O2Si,380,apin_ox_S_blob_751,527,617,
922,1128_1901_blob_922,amz_lib_1128_1901,999,999,C7 acid,413,501,1888.590604,,"α-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",686,726,,C13H26BNO6Si,331,limonox_S_blob_725,566,619,1893
930,1128_1901_blob_930,amz_lib_1128_1901,999,999,C7 acid,573,654,1859.060403,,"9-Tetradecenoic acid, (E)-, TMS derivative",773,845,,C17H34O2Si,298,limonox_S_blob_649,588,625,1868
933,1128_1901_blob_933,amz_lib_1128_1901,999,999,C7 acid,458,594,2894.949495,,"Perhydrobenzo[e]isoxazolo[2,3-b][1,2]oxazine-3-carboxamide,4-phenyl-8a-[(1,1,1-trimethylsilyl)oxy]",585,603,,C20H30N2O4Si,390,limonox_S_blob_687,463,624,
941,1128_1901_blob_941,amz_lib_1128_1901,999,999,C14 Diacid,509,527,2314.516129,2317,"D-Homo-24-nor-17-oxachola-20,22-diene-3,7,16-trione, 14,15:21,23-diepoxy-4,4,8-trimethyl-, (5α,13α,14ß,15ß,17aα)-",623,680,,C26H32O6,440,limonox_S_blob_687,436,584,
943,1128_1901_blob_943,amz_lib_1128_1901,999,999,C7 acid,340,495,1580.434783,,"4-tert-Butyl-2,6-diisopropylphenol",781,800,,C16H26O,234,limonox_S_blob_746,463,489,1576
948,1128_1901_blob_948,amz_lib_1128_1901,999,999,C7 acid,427,474,1423.913043,,"Pentanedioic acid, 2TMS derivative",851,858,1409,C11H24O4Si2,276,myrc_ox_L_blob_563,885,891,1421
955,1128_1901_blob_955,amz_lib_1128_1901,999,999,C7 acid,477,604,2317.741935,,"Perhydrobenzo[e]isoxazolo[2,3-b][1,2]oxazine-3-carboxamide,4-phenyl-8a-[(1,1,1-trimethylsilyl)oxy]",591,594,,C20H30N2O4Si,390,limonox_S_blob_687,456,600,
956,1128_1901_blob_956,amz_lib_1128_1901,999,999,benzophenone,0,633,2350,1664,"Benzoic acid, tridecyl ester",680,857,2340,C20H32O2,304,apin_ox_S_blob_751,367,430,
958,1128_1901_blob_958,amz_lib_1128_1901,999,999,C7 acid,386,449,2151.470588,,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",557,596,,C18H34OSi,294,limonox_S_blob_687,402,489,
960,1128_1901_blob_960,amz_lib_1128_1901,999,999,C7 acid,539,617,2755.140187,,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",668,833,,C14H29FO2Si,276,bcp_ox_L_blob_18,503,580,
961,1128_1901_blob_961,amz_lib_1128_1901,999,999,C7 acid,393,546,1789.090909,,"ß-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic butylboronate",622,636,,C17H37BO6Si2,404,myrc_ox_L_blob_687,550,581,1796
964,1128_1901_blob_964,amz_lib_1128_1901,999,999,C7 acid,535,634,1681.212121,,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",659,773,,C15H30O5Si,318,limonox_S_blob_720,658,678,1675
968,1128_1901_blob_968,amz_lib_1128_1901,999,999,"beta-caryophyllonic acid, TMS",535,581,1928.85906,1931,"α-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(methylboronate)",643,688,,C11H22B2O6Si,300,limonox_S_blob_847,549,609,1925
969,1128_1901_blob_969,amz_lib_1128_1901,999,999,C7 acid,439,496,2025,,"Hexadecanoic acid, ethyl ester",703,769,1993,C18H36O2,284,limonox_S_blob_687,448,522,
978,1128_1901_blob_978,amz_lib_1128_1901,999,999,C7 acid,550,622,2947.474747,,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",686,826,,C14H29FO2Si,276,bcp_ox_L_blob_18,507,576,
981,1128_1901_blob_981,amz_lib_1128_1901,999,999,C7 acid,466,509,1258.893353,,"1,3-Butanediol, 2TMS derivative",689,733,,C10H26O2Si2,234,limonox_S_blob_619,548,595,1259
990,1128_1901_blob_990,amz_lib_1128_1901,999,999,C7 acid,513,535,1456.521739,,"2-Buten-1-ol, TMS derivative",703,797,,C7H16OSi,144,apin_ox_L_blob_520,603,624,1451
991,1128_1901_blob_991,amz_lib_1128_1901,999,999,C7 acid,498,537,1570.652174,,"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one, (D)-, 2TMS derivative",660,728,,C11H24O4Si2,276,myrc_ox_L_blob_740,662,686,1574
993,1128_1901_blob_993,amz_lib_1128_1901,999,999,C25,581,629,2553.043478,2545,"Hexadecanal, 2-methyl-",697,791,,C17H34O,254,myrc_ox_L_blob_655,0,582,1611
995,1128_1901_blob_995,amz_lib_1128_1901,999,999,C7 acid,365,408,3186.956522,,"1-Hexadecanol, 2-methyl-",687,708,,C17H36O,256,bcp_ox_L_blob_18,389,439,
996,1128_1901_blob_996,amz_lib_1128_1901,999,999,C7 acid,361,361,1328.906828,,Indole,872,887,1295,C8H7N,117,bcp_ox_L_blob_18,376,376,
999,1128_1901_blob_999,amz_lib_1128_1901,999,999,C7 acid,401,431,3047.826087,,"Farnesol, (E,E)-, TMS derivative",723,764,,C18H34OSi,294,limonox_S_blob_687,431,484,
1002,1128_1901_blob_1002,amz_lib_1128_1901,999,999,hexadecanamide,672,773,2211.290323,2212,"Benzeneethanamine, 2-fluoro-ß,3,4-trihydroxy-N-isopropyl-",643,698,,C11H16FNO3,229,limonox_S_blob_687,421,483,
1004,1128_1901_blob_1004,amz_lib_1128_1901,999,999,"2-Ketoglutaric acid, tri-TMS",487,500,1631.515152,1629,"2-propenoic acid, 2-methyl-, 2,3-bis[(trimethylsilyl)oxy]propyl ester",608,738,,C13H28O4Si2,304,limonox_L_blob_667,828,833,1630
1006,1128_1901_blob_1006,amz_lib_1128_1901,999,999,threitol,527,581,1525,1521,"Malic acid, 2TMS derivative",664,706,,C10H22O5Si2,278,myrc_ox_L_blob_846,628,686,1529
1019,1128_1901_blob_1019,amz_lib_1128_1901,999,999,C7 acid,527,554,1560.869565,,"Tripropylene glycol monomethyl ether, TMS derivative",792,848,,C13H30O4Si,278,myrc_ox_L_blob_584,558,568,1567
1027,1128_1901_blob_1027,amz_lib_1128_1901,999,999,C27,77,528,2775.700935,2750,"Phthalic acid, hexyl octyl ester",860,880,,C22H34O4,362,limonox_S_blob_633,270,274,
