,BlobID,Compound.Name,Library Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Overlap_Class,Overlap_Class1,influence_type_1,influence_type_2,assigned_cluster_1,assigned_cluster_2
1109,1204,1129_1334_blob_1204,amz_lib_1129_1334,C7 acid,507,557,1443.478261,NA,"2-Oxooctanoic acid, TMS derivative",719,734,NA,C11H22O3Si,230,myrc_ox_L_blob_593,880,885,1438,Both_UP,Common_Class,UP,UP,12,3
175,717,1221_0832_blob_717,amz_lib_1221_0832,C7 acid,482,488,1504.395604,NA,"4-Pentenoic acid, TMS derivative",733,758,NA,C8H16O2Si,172,limonox_L_blob_662,866,868,1501,Both_UP,Common_Class,UP,UP,11,3
239,35,1221_0832_blob_35,amz_lib_1221_0832,mannosan,555,574,1707.317073,1706,"5-Trimethylsilyloxy-n-valeric acid, trimethylsilyl ester",672,751,NA,C11H26O3Si2,262,limonox_S_blob_604,856,856,1706,Both_UP,Common_Class,UP,UP,11,3
236,42,1221_0832_blob_42,amz_lib_1221_0832,C7 acid,430,472,1595.604396,NA,"Malonic acid, bis(2-trimethylsilylethyl ester",659,824,NA,C13H28O4Si2,304,apin_ox_L_blob_534,853,855,1596,Both_UP,Common_Class,UP,UP,11,3
216,630,1221_0832_blob_630,amz_lib_1221_0832,threitol,504,605,1508.791209,1521,"Malic acid, 3TMS derivative",787,790,NA,C13H30O5Si3,350,myrc_ox_L_blob_570,850,850,1507,Both_UP,Common_Class,UP,UP,11,3
1344,1644,1128_1901_blob_1644,amz_lib_1128_1901,C7 acid,390,490,1423.913043,NA,"Cycloheptanol, TBDMS derivative",676,727,NA,C13H28OSi,228,apin_ox_L_blob_579,827,838,1421,Both_UP,Common_Class,UP,UP,11,3
140,796,1221_0832_blob_796,amz_lib_1221_0832,C7 acid,410,465,1798.780488,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",681,692,NA,C14H28O4Si2,316,myrc_ox_L_blob_594,825,834,1793,Both_UP,Common_Class,UP,UP,11,3
324,1084,1221_0832_blob_1084,amz_lib_1221_0832,C7 acid,509,537,1593.406593,NA,"6-Oxoheptanoic acid, TMS derivative",629,678,NA,C10H20O3Si,216,limonox_L_blob_5,792,793,1592,Both_UP,Common_Class,UP,UP,13,3
112,855,1221_0832_blob_855,amz_lib_1221_0832,C9 Diacid (azelaic acid),544,577,1822.818792,1822,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",638,644,NA,C14H31BO6Si2,362,apin_ox_L_blob_532,790,806,1821,Both_UP,Common_Class,UP,UP,11,3
708,756,1202_1412_blob_756,amz_lib_1202_1412,C7 acid,408,571,1735.757576,NA,"5-(2-Hydroxy-1-methylethyl)-2-methylcyclohexanone, TBDMS derivative",630,690,NA,C16H32O2Si,284,apin_ox_S_blob_633,789,818,1734,Both_UP,Common_Class,UP,UP,13,3
879,647,1202_0046_blob_647,amz_lib_1202_0046,C7 acid,442,547,1724.390244,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",656,670,NA,C13H26BNO6Si,331,limonox_S_blob_775,766,821,1722,Both_UP,Common_Class,UP,UP,11,3
107,864,1221_0832_blob_864,amz_lib_1221_0832,C9 Diacid (azelaic acid),521,553,1822.818792,1822,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",647,658,NA,C14H31BO6Si2,362,apin_ox_S_blob_616,721,758,1823,Both_UP,Common_Class,UP,UP,12,3
314,1113,1221_0832_blob_1113,amz_lib_1221_0832,C7 acid,505,556,1643.902439,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",679,732,NA,C15H30O5Si,318,myrc_ox_L_blob_729,710,749,1634,Both_UP,Common_Class,UP,UP,11,3
193,681,1221_0832_blob_681,amz_lib_1221_0832,galactosan,513,615,1670.731707,1684,"2-Deoxypentofuranose, 3TMS derivative",707,720,NA,C14H34O4Si3,350,apin_ox_L_blob_551,709,728,1667,Both_UP,Common_Class,UP,UP,12,3
91,895,1221_0832_blob_895,amz_lib_1221_0832,mannosan,515,526,1709.756098,1706,"l-Galactopyranose, 6-deoxy-1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",636,663,NA,C13H29BO5Si2,332,myrc_ox_L_blob_709,698,728,1709,Both_UP,Common_Class,UP,UP,12,3
408,686,1213_2145_blob_686,amz_lib_1213_2145,pinonic acid,635,707,1540.983607,1550,"2-Methyl-4-pentenoic acid, TMS derivative",745,799,NA,C9H18O2Si,186,myrc_ox_L_blob_556,693,701,1546,Both_UP,Common_Class,UP,UP,11,3
214,638,1221_0832_blob_638,amz_lib_1221_0832,Humulene,679,680,1487.912088,1490,"Erythrono-1,4-lactone, (Z)-, 2TMS derivative",699,704,NA,C10H22O4Si2,262,myrc_ox_L_blob_564,689,708,1497,Both_UP,Common_Class,UP,UP,12,3
696,881,1202_1412_blob_881,amz_lib_1202_1412,farnesol,534,627,1832.214765,1832,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",731,757,NA,C13H26BNO6Si,331,limonox_S_blob_754,686,734,1831,Both_UP,Common_Class,UP,UP,11,3
1462,1156,1128_1901_blob_1156,amz_lib_1128_1901,"2-Ketoglutaric acid, tri-TMS",469,516,1623.030303,1629,"D-(-)-Erythrose, tris(trimethylsilyl) ether, ethyloxime (isomer 1)",636,680,NA,C15H37NO4Si3,379,apin_ox_S_blob_608,685,705,1630,Both_UP,Common_Class,UP,UP,12,3
712,734,1202_1412_blob_734,amz_lib_1202_1412,C7 acid,449,559,1805.369128,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",711,738,NA,C16H37BO6Si3,420,myrc_ox_L_blob_546,683,712,1812,Both_UP,Common_Class,UP,UP,11,3
218,608,1221_0832_blob_608,amz_lib_1221_0832,C7 acid,505,541,1753.658537,NA,"Propane, 2-methyl-1,2-bis(trimethylsiloxy)-",748,861,NA,C10H26O2Si2,234,apin_ox_L_blob_529,674,741,1770,Both_UP,Common_Class,UP,UP,11,3
189,687,1221_0832_blob_687,amz_lib_1221_0832,C7 acid,581,668,1817.449664,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",656,673,NA,C13H26BNO6Si,331,apin_ox_S_blob_616,671,724,1823,Both_UP,Common_Class,UP,UP,11,3
334,1036,1221_0832_blob_1036,amz_lib_1221_0832,C7 acid,480,535,1657.317073,NA,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone, tris(trimethylsilyl)-",772,822,NA,C14H32O5Si3,364,apin_ox_L_blob_551,669,695,1667,Both_UP,Common_Class,UP,UP,11,3
48,987,1221_0832_blob_987,amz_lib_1221_0832,MBTCA,539,571,1770.731707,1776,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",653,699,NA,C15H30O4Si,302,myrc_ox_L_blob_628,667,702,1764,Both_UP,Common_Class,UP,UP,12,3
687,920,1202_1412_blob_920,amz_lib_1202_1412,MBTCA,423,559,1790.30303,1776,"?-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic methylboronate",708,739,NA,C14H31BO6Si2,362,myrc_ox_L_blob_687,666,711,1796,Both_UP,Common_Class,UP,UP,11,3
1199,991,1128_1901_blob_991,amz_lib_1128_1901,C7 acid,498,537,1570.652174,NA,"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one, (D)-, 2TMS derivative",660,728,NA,C11H24O4Si2,276,myrc_ox_L_blob_740,662,686,1574,Both_UP,Common_Class,UP,UP,12,3
54,979,1221_0832_blob_979,amz_lib_1221_0832,C7 acid,475,547,1798.780488,NA,"?-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,677,NA,C12H27BO5Si2,318,myrc_ox_L_blob_562,660,689,1792,Both_UP,Common_Class,UP,UP,11,3
947,1096,1202_0046_blob_1096,amz_lib_1202_0046,bisabolol,516,565,1768.292683,1770,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",740,753,NA,C13H26BNO6Si,331,limonox_L_blob_637,656,700,1774,Both_UP,Common_Class,UP,UP,13,3
194,680,1221_0832_blob_680,amz_lib_1221_0832,C7 acid,503,594,1805.369128,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",629,649,NA,C14H28O4Si2,316,apin_ox_S_blob_637,653,689,1796,Both_UP,Common_Class,UP,UP,11,3
127,820,1221_0832_blob_820,amz_lib_1221_0832,levoglucosan,599,627,1729.268293,1726,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",642,644,NA,C14H31BO6Si2,362,limonox_S_blob_593,648,655,1732,Both_UP,Common_Class,UP,UP,12,3
341,1019,1221_0832_blob_1019,amz_lib_1221_0832,C7 acid,475,516,1671.95122,NA,"Malic acid, 2TMS derivative",626,644,NA,C10H22O5Si2,278,apin_ox_L_blob_548,646,665,1663,Both_UP,Common_Class,UP,UP,11,3
196,676,1221_0832_blob_676,amz_lib_1221_0832,C9 Diacid (azelaic acid),431,459,1817.449664,1822,Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,685,786,NA,C9H22O2SSi2,250,limonox_S_blob_633,644,712,NA,Both_UP,Common_Class,UP,UP,11,3
1140,1075,1129_1334_blob_1075,amz_lib_1129_1334,C7 acid,401,466,1584.782609,NA,"Tartaric acid (2R,3R)-, 3TMS derivative",678,702,NA,C13H30O6Si3,366,myrc_ox_L_blob_675,644,708,1580,Both_UP,Common_Class,UP,UP,12,3
105,872,1221_0832_blob_872,amz_lib_1221_0832,farnesol,464,510,1836.241611,1832,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",611,623,NA,C14H31BO6Si2,362,apin_ox_S_blob_616,640,704,1823,Both_UP,Common_Class,UP,UP,11,3
62,966,1221_0832_blob_966,amz_lib_1221_0832,pinic acid 1,550,577,1689.02439,1692,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",652,671,NA,C15H30O4Si,302,limonox_S_blob_720,639,688,1675,Both_UP,Common_Class,UP,UP,12,3
55,978,1221_0832_blob_978,amz_lib_1221_0832,C7 acid,474,538,1759.756098,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",636,681,NA,C15H30O4Si,302,limonox_S_blob_790,638,670,1768,Both_UP,Common_Class,UP,UP,11,3
