Compound.Name,cumsum_ISnormnorm,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes
Blob with BlobID = 572,0.000680594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benzophenone,221,356,1678.04878,1664,"Benzenamine, 4-(1H-tetrazol-1-yl)-",662,709,,C7H7N5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
Blob with BlobID = 562,0.00418076,NA,NA,NA,NA,NA,NA,-0.117129354,-0.269848759,0.029172075,0.41513154,0.646311801,0.358838161,levoglucosan,523,537,1732.926829,1726,"√ü-D-Galactopyranoside, methyl 2,4-bis-O-(trimethylsilyl)-, diacetate",647,778,,C17H34O8Si2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,H,not in iop1
Blob with BlobID = 561,0.001241235,NA,NA,NA,NA,NA,NA,-0.144733976,-0.37790594,0.214414095,0.518371319,0.670613674,0.38770905,mannosan,833,845,1706.097561,1706,"Levoglucosan, 3TMS derivative",831,834,,C15H34O5Si3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,not in IOP1
Blob with BlobID = 547,0.006135075,NA,NA,NA,NA,NA,NA,0.119684916,-0.213971868,0.123630127,0.676743647,0.856411851,0.659803701,C7 acid,402,494,1801.351351,,"D-Ribo-Hexonic acid, 3-deoxy-2,5,6-tris-O-(trimethylsilyl)-, lactone",685,831,,C15H34O5Si3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,H,not in iop1
Blob with BlobID = 4,0.000598724,-0.269332847,-0.86106189,-0.844775451,0.331741719,-0.534436227,0.51833966,NA,NA,NA,NA,NA,NA,glyceric acid,594,606,1303.061224,1345,"Hypoxanthine, 2TBDMS derivative",693,740,,C17H32N4OSi2,NA,NA,NA,NA,0,0.126597095,NA,0,0,0.558038779,-0.140958089,-1,0,-0.398885874,-0.150292756,0,NA,0,0,-0.439978282,-0.148493528,NYC,,,
Blob with BlobID = 334,0.000715814,NA,NA,NA,NA,NA,NA,0.210026457,0.199543516,0.243469345,-0.128067926,-0.16958657,-0.280329824,mannosan,371,614,1726.380368,1706,"[2-(2-Ethoxyethoxy)ethoxy]acetic acid, TBDMS derivative",722,739,,C14H30O5Si,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_2326_blob_902,2.38E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,422,472,1651.219512,NA,"6-Ethyl-3-decanol, TMS derivative",614,671,NA,C15H34OSi,apin_ox_S_blob_660,561,600,1646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_2326_blob_887,7.16E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,555,587,2784.90566,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",718,813,NA,C14H29FO2Si,bcp_ox_L_blob_18,526,567,NA,0,-1,NA,0,0,1,-1,-1,0,1,0,0,NA,0,0,1,1,NYC,,,
1221_2326_blob_871,1.67E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,461,555,1902.013423,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",626,641,NA,C13H26BNO6Si,limonox_S_blob_725,602,643,1893,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,,,
1221_2326_blob_869,8.13E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,575,622,2151.111111,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",673,781,NA,C14H29FO2Si,bcp_ox_L_blob_18,547,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_2326_blob_864,9.33E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C18,451,499,1826.845638,1830,"2'-Acetonaphthone, 1',2'a,3',4',4'a,5',6',7',8',8'aa-decahydro-5'ﬂ-hydroxy-4'aﬂ,8'ﬂ-dimethyl-, (.+-.)-",690,756,NA,C14H24O2,bcp_ox_L_blob_649,589,626,1839,0,-1,NA,0,0,0,0,0,0,1,1,0,NA,0,0,-1,0,NYC,,,
1221_2326_blob_862,0.000115689,0.427261345,0.293305564,0.548000628,0.610098496,0.399929538,0.347375155,NA,NA,NA,NA,NA,NA,farnesol,508,622,1846.979866,1832,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",627,651,NA,C18H34OSi,limonox_L_blob_611,634,680,1835,1,0.259838779,NA,0,-0.516728356,-0.241122649,-0.27985476,-0.490469071,-0.797440491,-0.094765286,-0.437393165,1,NA,1,0,0.828225358,-0.004007921,NYC,,,
1221_2326_blob_861,1.08E-05,0.67651785,0.983685921,-0.834787451,0.557141816,-0.159279468,-0.034564037,NA,NA,NA,NA,NA,NA,"beta-nocaryophyllinic acid, TMS",397,498,2112.592593,2127,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",632,654,NA,C18H34OSi,limonox_S_blob_905,576,631,2120,0,0.69837325,NA,0,0,0.331703948,0.435063189,-0.414699321,0,0.017995707,0.935947075,0,NA,0,0,0.198735723,-0.110453618,NYC,,,
1221_2326_blob_858,8.98E-06,NA,NA,NA,NA,NA,NA,0.641167498,0.299216731,-0.064606529,0.036313572,0.070155015,-0.429925218,farnesol,517,529,1828.187919,1832,"10,12-Docosadiynedioic acid, 2TMS derivative",600,606,NA,C28H50O4Si2,myrc_ox_L_blob_801,569,603,1819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_2326_blob_817,0.000114048,NA,NA,NA,NA,NA,NA,0.05562153,-0.089728269,0.233429944,0.322683101,0.474107607,0.904414638,C28,761,765,2852.525253,2852,"Sulfurous acid, 2-ethylhexyl undecyl ester",827,879,NA,C19H40O3S,apin_ox_S_blob_751,291,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_2326_blob_776,0.000182487,NA,NA,NA,NA,NA,NA,-0.108654319,0.437704716,0.229624108,-0.075253865,-0.230723563,-0.248723404,C7 acid,430,474,1569.398907,NA,"2-Hydroxycyclohexane-1-carboxylic acid, bis(trimethylsilyl) deriv.",673,706,NA,C13H28O3Si2,myrc_ox_L_blob_682,659,661,1567,0,1,NA,0,0,1,1,1,1,1,0,0,NA,0,0,0,1,NYC,,,
1221_2326_blob_762,1.75E-05,0.916331881,-0.793247731,0.755509627,0.972037969,0.316260609,-0.995516204,NA,NA,NA,NA,NA,NA,C7 acid,318,331,2094.814815,NA,Vinyl 2-ethylhexanoate,682,813,NA,C10H18O2,bcp_ox_L_blob_989,400,401,2087,0,0.990212505,NA,0,0,0.964548667,-0.600942031,-0.966395999,0,-0.656697138,-0.743933676,0,NA,1,0,1,-0.030576969,NYC,,,
1221_2326_blob_754,2.59E-05,0.214102519,0.611239142,-0.591481882,0.390358145,-0.19834363,0.081875118,-0.633604507,-0.016294836,0.596234571,0.908703853,-0.82084703,-0.20246288,C7 acid,474,514,2111.111111,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",656,675,NA,C18H34OSi,bcp_ox_L_blob_787,580,615,2100,0,0.470591158,NA,0,0,0.737382185,0.077871212,-0.803488195,1,0.099031791,0.760117349,0,NA,0,0,-0.603039107,0.778389545,NYC,,,
1221_2326_blob_741,0.000169147,0.381560225,0.169689271,0.076570051,0.531885136,-0.179466791,0.133965013,0.036862881,0.080618156,0.171260073,0.04424731,0.171633823,0.323234165,C7 acid,428,466,2152.592593,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",596,613,NA,C18H34OSi,limonox_S_blob_687,436,492,NA,1,0.297823566,NA,0,0,-0.153483924,-0.190549997,-0.648663403,-0.786059969,-0.120896278,-0.447611946,1,NA,1,0,0.343549466,-0.162881974,NYC,,,
1221_2326_blob_722,0.000138818,0.308549233,0.496585016,0.552428064,0.506298733,0.683122724,0.161560382,0.27163394,0.517788373,-0.090911567,-0.282141597,-0.003877974,-0.28435323,C7 acid,450,464,1630.487805,NA,"3-Octen-2-ol, (E)-, TMS derivative",635,683,NA,C11H24OSi,apin_ox_L_blob_530,840,842,1629,0.271337723,0.722191301,NA,-0.139246605,0.430008841,0.779115875,0.200888818,0.179899534,-0.073942145,0.51174028,0.369661391,0.247727196,NA,0.604442364,0.266531315,0.366090601,0.726003168,NYC,,,
1221_2326_blob_716,5.46E-05,NA,NA,NA,NA,NA,NA,-0.057093917,-0.295446588,-0.182710472,0.218206238,-0.104814725,-0.048348045,beta-caryophyllene aldehyde,684,698,1721.95122,1715,"3-Buten-2-ol, 2-methyl-4-(1,3,3-trimethyl-7-oxabicyclo[4.1.0]hept-2-yl)-",737,743,NA,C14H24O2,limonox_L_blob_723,549,572,1720,0,-1,NA,0,0,0,0,0,0,-1,-1,0,NA,0,0,-1,0,NYC,,,
1221_2326_blob_715,8.16E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,390,411,1867.114094,NA,"5Z,?8Z,?11Z,?14Z-Eeicosatetraenoic acid,? 3-?theinylmethyl ester",645,657,NA,C25H36O2S,limonox_S_blob_804,521,530,1868,0,1,NA,0,0,1,0,0,0,1,-1,0,NA,0,0,1,1,NYC,,,
1221_2326_blob_688,6.04E-05,0.472561861,-0.10048654,0.091986216,0.583608065,-0.093749852,0.343462847,0.138601684,-0.665648602,-0.46523557,-0.438973866,-0.192657147,-0.216673756,"beta-nocaryophyllinic acid, TMS",542,543,2122.962963,2127,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",677,684,NA,C14H24O4,bcp_ox_L_blob_787,522,618,2100,0,0.521115863,NA,0,0,0.60133282,-0.245052671,-0.568781292,1,-0.068507306,-0.623761566,0,NA,0,0,0.330076666,0.480435415,NYC,,,
1221_2326_blob_672,5.37E-05,0.367089127,0.080503606,0.107078729,0.708215067,0.063632294,0.028998916,0.131569937,-0.343760376,0.405785454,0.506528024,-0.001973578,0.261595225,C7 acid,265,360,1654.878049,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",634,644,NA,C16H50O7Si8,limonox_S_blob_787,717,722,1657,-0.023220672,0.165161359,NA,0,0,0.158771923,0.061828488,-0.509432874,-0.912951158,0.095989988,-0.827050232,-0.152954203,NA,-1,0,0.454866426,0.486189209,NYC,,,
1221_2326_blob_671,5.63E-05,-0.114041246,0.104419488,0.102162379,-0.149036342,0.073532416,-0.256921839,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",524,686,1910.067114,1931,"E-9-Methyl-8-tridecen-2-ol, acetate",647,653,NA,C16H30O2,bcp_ox_L_blob_704,598,598,1903,0,-0.122561899,NA,0,1,-0.122313071,-0.286361402,-0.327996051,1,-0.069578656,0.087715116,0,NA,-1,0,0.222006478,0.824449991,NYC,,,
1221_2326_blob_657,5.12E-05,NA,NA,NA,NA,NA,NA,0.641647019,0.039238995,0.367990766,0.441117804,0.220180894,0.135457056,beta-caryophyllene aldehyde,851,851,1715.853659,1715,"Bicyclo[2.2.1]heptane-2,5-diol, 1,7,7-trimethyl-, (2-endo,5-exo)-",747,800,NA,C10H18O2,apin_ox_S_blob_634,554,561,1712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_2326_blob_600,0.002939184,0.280219947,0.840349638,-0.718840061,-0.838701056,-0.623016543,-0.998065191,0.430791589,0.337318716,0.391596913,0.334972757,0.304627712,0.167324061,squalene,865,866,2866.666667,2868,"6,11-Dimethyl-2,6,10-dodecatrien-1-ol",810,822,NA,C14H24O,bcp_ox_L_blob_18,337,346,NA,-1,-0.108519529,NA,0,-1,-0.260208948,0.849690925,0.894882067,0.913281283,-0.195977019,0.194470557,-1,NA,1,-1,0,-0.132287123,SQ,ISOP,L,some kind of terpene for sure
1221_0832_blob_996,0.001487388,0.671896385,0.597914951,0.392609837,0.495485671,0.688069105,0.220063773,-0.071490849,-0.206619007,-0.011280296,0.771940239,0.963102286,0.839563234,syringic acid,697,711,1924.832215,1924,Syringic acid (2TMS),655,769,1893,C15H26O5Si2,limonox_L_blob_589,493,561,1928,0.419545943,0.908009136,NA,0.746064253,0.782087427,0.915095891,0.686390136,0.755051447,0.712065883,0.750396106,0.421334214,0.532651186,NA,0.919048339,0.578216042,0.589708955,0.815469836,BB,SQ,M,"excellent BB1 corr, high SQ corr and high IOP2 BB corr"
1221_0832_blob_994,0.000162664,0.061485016,0.045256982,0.694655316,0.514712426,0.641631949,-0.746401794,0.429596803,-0.031756891,-0.054221963,-0.08090396,-0.137163812,-0.160131365,C7 acid,392,446,2004.444444,NA,"Isoborneol, pentamethyldisilanyl ether",612,702,NA,C15H32OSi2,limonox_S_blob_633,565,681,NA,0.881949038,0.758939988,NA,0.999877015,1,0.994899127,0.456508715,0.384801122,0.369663294,0.655805124,0.621464812,0.818252296,NA,0,-0.913163489,0,0,NYC,,,
1221_0832_blob_993,0.000588527,0.865887036,-0.1326437,0.594906988,0.151438293,0.580867478,-0.125440046,0.341907635,0.488591837,-0.199914995,-0.192335053,-0.037339211,-0.313015787,C7 acid,403,448,1907.38255,NA,Epistephamiersine,578,701,NA,C21H27NO6,limonox_L_blob_564,588,637,1893,0.713810826,0.358668044,NA,0.129795072,0.441699359,0.730406564,0.67498374,0.684192634,0.688716742,0.927942723,0.634844698,0.759996063,NA,-0.031143459,0.796277711,0.805555557,0.6062023,NYC,,,
1221_0832_blob_992,4.78E-05,0.85210934,-0.089798103,-0.187608312,0.749338048,0.201350242,-0.24655609,0.981032347,0.961071015,-0.274393455,-0.293170504,-0.397007059,-0.927498471,C7 acid,507,569,1820.134228,NA,"(2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",650,722,NA,C15H32O5Si,myrc_ox_L_blob_801,641,681,1819,-0.627391001,0.470536394,NA,0,0,0.786506393,0.81927107,0.847584602,0.760156027,0.78086101,0.200978399,0.420943539,NA,0,0.865922114,0,0.369133366,NYC,,,
1221_0832_blob_988,0.000433186,0.525429898,0.801105745,0.023620334,0.210788973,0.356794414,0.213946653,0.00780397,0.174071922,-0.062299217,0.073123469,0.16466964,0.098040396,C7 acid,371,451,1969.127517,NA,"4-Coumaric acid, 2TMS derivative",695,861,1949,C15H24O3Si2,limonox_S_blob_685,486,576,1963,0.964299479,0.578479796,NA,0.974031124,0.920329112,0.703708541,0.866589652,0.925443334,0.937334967,0.558396724,0.84001216,0.966186401,NA,0.927991318,0.030126999,0.746224536,0.81573775,A,,,
1221_0832_blob_987,0.000183375,0.877297847,0.122076694,0.496850377,-0.258138484,0.238968406,-0.370375962,0.34759043,0.148947512,-0.254416447,-0.158684393,0.169498941,-0.352384012,MBTCA,539,571,1770.731707,1776,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",653,699,NA,C15H30O4Si,myrc_ox_L_blob_628,667,702,1764,0.870078366,0.724307739,NA,0.958525861,0,0.898945036,0.947844664,0.925390061,0.816113973,0.852508455,0.833583539,0.930714078,NA,0,0.931308261,0,0.951935761,NYC,,,
1221_0832_blob_986,9.88E-05,0.571596085,0.513505295,-0.384544384,-0.353880829,0.469670177,-0.081961544,0.401535747,0.381883401,-0.102110668,0.243828486,0.350620174,0.337808967,C7 acid,470,529,1908.724832,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,675,NA,C13H26BNO6Si,limonox_S_blob_725,603,671,1893,0.627179111,0.507461413,NA,0,0.236401743,0.617298346,0.590746035,0.426806081,0.573532561,0.362878539,0.27872994,0.907912662,NA,0.945075678,-1,-0.319173955,0.582832822,NYC,,,
1221_0832_blob_985,0.000151686,NA,NA,NA,NA,NA,NA,0.258250699,0.04020674,-0.367138109,-0.160095568,-0.224607392,-0.410135541,C10 diacid (sebacic acid),451,517,1912.751678,1922,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",637,656,NA,C13H26BNO6Si,limonox_S_blob_725,578,672,1893,1,1,NA,0,0,1,1,1,1,1,1,1,NA,0,0,0,1,NYC,,,
1221_0832_blob_983,0.000127032,0.103980249,0.329512847,-0.430374384,-0.084921905,-0.591464324,0.748843684,0.311507566,0.207236162,-0.349260207,-0.42132963,-0.202238539,-0.426194164,C7 acid,468,545,2037.037037,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",640,645,NA,C13H26BNO6Si,limonox_S_blob_687,486,590,NA,0.433182965,-0.483441829,NA,0,0,0.421228878,0.254602645,0.245687614,0.223117383,0.23082627,0.209120789,-0.049046508,NA,0,1,0,0.17947885,NYC,,,
1221_0832_blob_982,2.45E-05,NA,NA,NA,NA,NA,NA,0.390055191,-0.230831528,0.199182265,0.355001754,0.456505597,0.397444375,C7 acid,362,374,1919.463087,NA,"1-(4-Hydroxy-3,5-di-tert.-butylphenyl)-2-methyl-3-morpholinopropan-1-one",682,731,NA,C22H35NO3,apin_ox_S_blob_751,396,414,NA,0,-1,NA,0,0,1,1,1,0,1,-1,0,NA,0,0,0,1,NYC,,,
1221_0832_blob_981,0.000305355,NA,NA,NA,NA,NA,NA,0.396722911,0.459677133,-0.204742173,-0.162101258,-0.11204944,-0.400142457,C9 Diacid (azelaic acid),470,563,1810.738255,1822,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",655,668,NA,C13H26BNO6Si,myrc_ox_L_blob_801,628,696,1819,-1,1,NA,0,0,1,1,1,1,1,1,1,NA,0,1,0,1,NYC,,,
1221_0832_blob_979,0.001033749,0.769643858,0.181661684,0.461080799,-0.11507197,0.193762352,-0.194295016,0.406134475,0.509814794,0.034795732,-0.211111474,-0.16629049,-0.265634622,C7 acid,475,547,1798.780488,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,677,NA,C12H27BO5Si2,myrc_ox_L_blob_562,660,689,1792,0.717939205,0.247807423,NA,0.858383545,0.192496805,0.712309558,0.759434775,0.73117894,0.563425738,0.761699476,0.548926445,0.684151109,NA,0.943026578,0.851228489,0.42838289,0.535852487,NYC,,,
1221_0832_blob_978,5.85E-05,0.543324803,0.995763289,-0.526726055,0.87989404,0.960474504,0.805759892,0.691724028,0.232732752,0.062139909,-0.187653401,0.896603573,-0.952353956,C7 acid,474,538,1759.756098,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",636,681,NA,C15H30O4Si,limonox_S_blob_790,638,670,1768,0.997953127,0.964495722,NA,1,0,0.982460344,0.794848631,0.735231065,0.541194189,0.891119375,0.862012802,0.970384514,NA,0,0.827760536,0,1,A,,,
1221_0832_blob_977,0.000114975,NA,NA,NA,NA,NA,NA,0.61175458,0.257058575,-0.33424941,-0.284459272,0.224831631,-0.353820468,C7 acid,475,524,1771.95122,NA,"Dodecanoic acid, 2,3-bis(acetyloxy)propyl ester",613,648,NA,C19H34O6,limonox_S_blob_790,628,656,1768,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,,,
1221_0832_blob_976,0.000301153,NA,NA,NA,NA,NA,NA,-0.022553366,0.034902454,0.077544346,0.733652583,0.753748822,0.717954371,C7 acid,544,592,1916.778523,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",672,727,NA,C15H30O5Si,limonox_S_blob_847,571,596,1925,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,,,
1221_0832_blob_974,3.26E-05,0.786414957,0.257131737,-0.234350435,-0.0480615,-0.29359687,-0.325387062,NA,NA,NA,NA,NA,NA,C7 acid,470,544,1725.609756,NA,"7-Oxooctanoic acid, 2-trimethylsilylethyl ester",610,674,NA,C13H26O3Si,limonox_S_blob_775,577,613,1722,0.889452509,0.740172353,NA,0,0.518609632,0.904664729,0.863018298,0.861966483,0.935770846,0.965224427,0.680248509,0.929405691,NA,0,0.898619257,-1,0.548608691,NYC,,,
1221_0832_blob_971,2.34E-05,0.883190345,0.494212575,0.788038231,0.647951229,0.413176165,0.576481764,NA,NA,NA,NA,NA,NA,squalene,0,683,3229.885057,2868,"5-(7a-Isopropenyl-4,5-dimethyl-octahydroinden-4-yl)-3-methyl-pent-2-enal",728,753,NA,C20H32O,apin_ox_S_blob_592,270,344,NA,0,0.977443535,NA,0,0,0.703525113,0.386181289,-1,0,0.44138862,0.079255837,0,NA,0,0,0.903128331,-0.532121908,NYC,,,
