Compound.Name,cumsum_ISnormnorm,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat2,man_cat2_alternate,man_cat2_certainty,man_cat2_notes,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes
1221_2326_blob_858,8.98E-06,NA,NA,NA,NA,NA,NA,0.641167498,0.299216731,-0.064606529,0.036313572,0.070155015,-0.429925218,farnesol,517,529,1828.187919,1832,"10,12-Docosadiynedioic acid, 2TMS derivative",600,606,NA,C28H50O4Si2,506,myrc_ox_L_blob_801,569,603,1819,-0.748599809,-0.172080119,NA,0,0,0.025193273,0.765688012,0.851197381,0,0.315466914,1,-0.476553163,0,NA,0,0,1,NYC,,,,,,,
1221_2326_blob_817,0.000114048,NA,NA,NA,NA,NA,NA,0.05562153,-0.089728269,0.233429944,0.322683101,0.474107607,0.904414638,C28,761,765,2852.525253,2852,"Sulfurous acid, 2-ethylhexyl undecyl ester",827,879,NA,C19H40O3S,348,apin_ox_S_blob_751,291,308,NA,-5.17E-05,0.531261839,NA,0.314276991,0.668976859,0.343525822,-0.009024333,0.013114771,-0.009549547,0.059274882,0.177019628,-0.122061409,-0.163464675,NA,0.873182608,-0.209553146,0.075655406,NYC,,,,,,,
1221_2326_blob_776,0.000182487,NA,NA,NA,NA,NA,NA,-0.108654319,0.437704716,0.229624108,-0.075253865,-0.230723563,-0.248723404,C7 acid,430,474,1569.398907,NA,"2-Hydroxycyclohexane-1-carboxylic acid, bis(trimethylsilyl) deriv.",673,706,NA,C13H28O3Si2,288,myrc_ox_L_blob_682,659,661,1567,0.003489075,-0.180934193,NA,-0.193520028,-0.005380641,0.064117575,0.226335218,0.343087747,-0.111362059,0.379555438,0.824360821,0.112519205,0.413813203,NA,0.82297235,0.089244514,0.187580802,NYC,,,,,,,
1221_2326_blob_762,1.75E-05,0.916331881,-0.793247731,0.755509627,0.972037969,0.316260609,-0.995516204,NA,NA,NA,NA,NA,NA,C7 acid,318,331,2094.814815,NA,Vinyl 2-ethylhexanoate,682,813,NA,C10H18O2,170,bcp_ox_L_blob_989,400,401,2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_2326_blob_754,2.59E-05,0.214102519,0.611239142,-0.591481882,0.390358145,-0.19834363,0.081875118,-0.633604507,-0.016294836,0.596234571,0.908703853,-0.82084703,-0.20246288,C7 acid,474,514,2111.111111,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",656,675,NA,C18H34OSi,294,bcp_ox_L_blob_787,580,615,2100,0,-0.851209925,NA,0.219978808,-1,-0.633545201,-0.531338441,-0.536087994,1,-0.17494085,-0.280021389,0,0,NA,0,0.98280984,-0.550720175,NYC,,,,,,,
1221_2326_blob_741,0.000169147,0.381560225,0.169689271,0.076570051,0.531885136,-0.179466791,0.133965013,0.036862881,0.080618156,0.171260073,0.04424731,0.171633823,0.323234165,C7 acid,428,466,2152.592593,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",596,613,NA,C18H34OSi,294,limonox_S_blob_687,436,492,NA,-0.321331305,0.242841665,NA,0.300376166,-0.106758871,0.492213762,0.20363295,0.074277426,-0.045867949,0.273086013,-0.123290031,-0.109852119,0.573261017,NA,0,0.675923111,0.245534283,NYC,,,,,,,
1221_2326_blob_722,0.000138818,0.308549233,0.496585016,0.552428064,0.506298733,0.683122724,0.161560382,0.27163394,0.517788373,-0.090911567,-0.282141597,-0.003877974,-0.28435323,C7 acid,450,464,1630.487805,NA,"3-Octen-2-ol, (E)-, TMS derivative",635,683,NA,C11H24OSi,200,apin_ox_L_blob_530,840,842,1629,0.053602546,0.06605364,NA,0.294134286,0.381676917,0.532612631,0.658660958,0.670662311,0.299534308,0.64306218,0.557484099,0.076068078,-1,NA,-1,-0.079599942,0.427733674,NYC,,,,,,,
1221_2326_blob_716,5.46E-05,NA,NA,NA,NA,NA,NA,-0.057093917,-0.295446588,-0.182710472,0.218206238,-0.104814725,-0.048348045,beta-caryophyllene aldehyde,684,698,1721.95122,1715,"3-Buten-2-ol, 2-methyl-4-(1,3,3-trimethyl-7-oxabicyclo[4.1.0]hept-2-yl)-",737,743,NA,C14H24O2,224,limonox_L_blob_723,549,572,1720,-0.488404904,0.080734864,NA,0.167386931,-0.048554982,0.11350152,0.097286332,0.143861833,0.399041386,-0.125257166,0.113832581,-0.397589041,-0.048161527,NA,0,0.303585435,0.233845037,NYC,,,,,,,
1221_2326_blob_715,8.16E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,390,411,1867.114094,NA,"5Z,?8Z,?11Z,?14Z-Eeicosatetraenoic acid,? 3-?theinylmethyl ester",645,657,NA,C25H36O2S,400,limonox_S_blob_804,521,530,1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_2326_blob_688,6.04E-05,0.472561861,-0.10048654,0.091986216,0.583608065,-0.093749852,0.343462847,0.138601684,-0.665648602,-0.46523557,-0.438973866,-0.192657147,-0.216673756,"beta-nocaryophyllinic acid, TMS",542,543,2122.962963,2127,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",677,684,NA,C14H24O4,256,bcp_ox_L_blob_787,522,618,2100,0.561231489,0.123531569,NA,-0.171495333,-0.166755101,0.211231341,-0.026368357,-0.092588466,-0.53028217,-0.244149287,-0.32249267,-0.002013895,1,NA,0,-0.252297376,0.299200656,NYC,,,,,,,
1221_2326_blob_672,5.37E-05,0.367089127,0.080503606,0.107078729,0.708215067,0.063632294,0.028998916,0.131569937,-0.343760376,0.405785454,0.506528024,-0.001973578,0.261595225,C7 acid,265,360,1654.878049,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",634,644,NA,C16H50O7Si8,578,limonox_S_blob_787,717,722,1657,0.160691005,0.480374828,NA,-0.017936941,-0.016466385,0.332156023,0.409616711,0.370208238,0.567585505,0.134594574,0.461791042,0.017981499,-1,NA,0,-0.32599467,0.388146724,NYC,,,,,,,
1221_2326_blob_671,5.63E-05,-0.114041246,0.104419488,0.102162379,-0.149036342,0.073532416,-0.256921839,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",524,686,1910.067114,1931,"E-9-Methyl-8-tridecen-2-ol, acetate",647,653,NA,C16H30O2,254,bcp_ox_L_blob_704,598,598,1903,0,1,NA,1,0,1,1,1,1,1,1,0,0,NA,0,-1,1,A,,,,,,,
1221_2326_blob_657,5.12E-05,NA,NA,NA,NA,NA,NA,0.641647019,0.039238995,0.367990766,0.441117804,0.220180894,0.135457056,beta-caryophyllene aldehyde,851,851,1715.853659,1715,"Bicyclo[2.2.1]heptane-2,5-diol, 1,7,7-trimethyl-, (2-endo,5-exo)-",747,800,NA,C10H18O2,170,apin_ox_S_blob_634,554,561,1712,0.307462654,0.404226155,NA,0.219693029,-0.16155007,0.40754135,0.371523008,0.420035345,0.685338852,0.430217982,0.157145628,0.546178273,1,NA,0,0,0.676577996,NYC,,,,,,,
1221_2326_blob_600,0.002939184,0.280219947,0.840349638,-0.718840061,-0.838701056,-0.623016543,-0.998065191,0.430791589,0.337318716,0.391596913,0.334972757,0.304627712,0.167324061,squalene,865,866,2866.666667,2868,"6,11-Dimethyl-2,6,10-dodecatrien-1-ol",810,822,NA,C14H24O,208,bcp_ox_L_blob_18,337,346,NA,0.842945446,0.398055832,NA,0.478877689,-0.157193966,0.309593571,0.359455963,0.419400487,0.7581719,0.080066424,0.274160623,0.818744926,-1,NA,0,-0.306981689,0.725089373,MT,SQ,L,only from tracers,SQ,ISOP,L,some kind of terpene for sure
1221_0832_blob_996,0.001487388,0.671896385,0.597914951,0.392609837,0.495485671,0.688069105,0.220063773,-0.071490849,-0.206619007,-0.011280296,0.771940239,0.963102286,0.839563234,syringic acid,697,711,1924.832215,1924,Syringic acid (2TMS),655,769,1893,C15H26O5Si2,342,limonox_L_blob_589,493,561,1928,-0.075660216,0.949846076,NA,0.950602887,0.860292395,0.769859883,-0.065212602,-0.046492116,0.292889881,-0.109108441,0.341229765,-0.075746568,-0.781696179,NA,0.89156534,0.826653496,0.611359237,BB,SQ,L,,BB,SQ,M,"excellent BB1 corr, high SQ corr and high IOP2 BB corr"
1221_0832_blob_994,0.000162664,0.061485016,0.045256982,0.694655316,0.514712426,0.641631949,-0.746401794,0.429596803,-0.031756891,-0.054221963,-0.08090396,-0.137163812,-0.160131365,C7 acid,392,446,2004.444444,NA,"Isoborneol, pentamethyldisilanyl ether",612,702,NA,C15H32OSi2,284,limonox_S_blob_633,565,681,NA,0.697900775,0.005675528,NA,0.500562279,0.765111011,0.222383687,0.142167496,0.219524222,0.62555936,0.030862401,0.166462961,0.536379895,0,NA,0,0,0.647581588,NYC,,,,,,,
1221_0832_blob_993,0.000588527,0.865887036,-0.1326437,0.594906988,0.151438293,0.580867478,-0.125440046,0.341907635,0.488591837,-0.199914995,-0.192335053,-0.037339211,-0.313015787,C7 acid,403,448,1907.38255,NA,Epistephamiersine,578,701,NA,C21H27NO6,389,limonox_L_blob_564,588,637,1893,0.242159957,0.109294168,NA,0.327082896,0.107919288,0.75276396,0.584728177,0.738911567,0.432421817,0.824437244,0.422154681,0.454637904,0,NA,0.424463266,0.995536599,0.68583713,NYC,,,,,,,
1221_0832_blob_992,4.78E-05,0.85210934,-0.089798103,-0.187608312,0.749338048,0.201350242,-0.24655609,0.981032347,0.961071015,-0.274393455,-0.293170504,-0.397007059,-0.927498471,C7 acid,507,569,1820.134228,NA,"(2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",650,722,NA,C15H32O5Si,320,myrc_ox_L_blob_801,641,681,1819,0.954116476,0.836365622,NA,0.422269353,-1,0.902887124,0.990325124,0.981519661,0.972926791,0.997068036,0.935612113,0.966222639,0,NA,0,0,0.918106266,NYC,,,,,,,
1221_0832_blob_988,0.000433186,0.525429898,0.801105745,0.023620334,0.210788973,0.356794414,0.213946653,0.00780397,0.174071922,-0.062299217,0.073123469,0.16466964,0.098040396,C7 acid,371,451,1969.127517,NA,"4-Coumaric acid, 2TMS derivative",695,861,1949,C15H24O3Si2,308,limonox_S_blob_685,486,576,1963,0.043383756,0.210021543,NA,0.202457003,0.144881633,0.350017323,0.254313213,0.211397529,0.128334401,0.18341444,-0.038516284,0.154468192,0.601770178,NA,0,0.325083821,0.232268445,NYC,,,,,,,
1221_0832_blob_987,0.000183375,0.877297847,0.122076694,0.496850377,-0.258138484,0.238968406,-0.370375962,0.34759043,0.148947512,-0.254416447,-0.158684393,0.169498941,-0.352384012,MBTCA,539,571,1770.731707,1776,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",653,699,NA,C15H30O4Si,302,myrc_ox_L_blob_628,667,702,1764,0.496808505,0.470847652,NA,0.764558748,0.47902685,0.785925512,0.674565803,0.748386397,0.564473541,0.819346479,0.509884418,0.713486147,0,NA,0.797436223,0,0.711976816,NYC,,,,,,,
1221_0832_blob_986,9.88E-05,0.571596085,0.513505295,-0.384544384,-0.353880829,0.469670177,-0.081961544,0.401535747,0.381883401,-0.102110668,0.243828486,0.350620174,0.337808967,C7 acid,470,529,1908.724832,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,675,NA,C13H26BNO6Si,331,limonox_S_blob_725,603,671,1893,0.834608569,0.602350417,NA,0.933732385,0.811474372,0.929255197,0.864992277,0.847810822,0.732167222,0.71326992,0.085371794,0.808759453,0,NA,0,0,0.785578152,NYC,,,,,,,
1221_0832_blob_985,0.000151686,NA,NA,NA,NA,NA,NA,0.258250699,0.04020674,-0.367138109,-0.160095568,-0.224607392,-0.410135541,C10 diacid (sebacic acid),451,517,1912.751678,1922,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",637,656,NA,C13H26BNO6Si,331,limonox_S_blob_725,578,672,1893,0.621701318,-0.013165854,NA,0.483041835,0.249423413,0.435055052,0.308970481,0.435161119,0.650598243,0.305816481,0.463301099,0.843585191,0,NA,0.823077962,0,0.447081506,NYC,,,,,,,
1221_0832_blob_983,0.000127032,0.103980249,0.329512847,-0.430374384,-0.084921905,-0.591464324,0.748843684,0.311507566,0.207236162,-0.349260207,-0.42132963,-0.202238539,-0.426194164,C7 acid,468,545,2037.037037,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",640,645,NA,C13H26BNO6Si,331,limonox_S_blob_687,486,590,NA,0.455340195,0.143979989,NA,0.795311962,0.619237973,0.737630168,0.479474158,0.594671734,0.660726645,0.598895629,0.778559422,0.708399028,0,NA,1,0,0.686118593,NYC,,,,,,,
1221_0832_blob_982,2.45E-05,NA,NA,NA,NA,NA,NA,0.390055191,-0.230831528,0.199182265,0.355001754,0.456505597,0.397444375,C7 acid,362,374,1919.463087,NA,"1-(4-Hydroxy-3,5-di-tert.-butylphenyl)-2-methyl-3-morpholinopropan-1-one",682,731,NA,C22H35NO3,361,apin_ox_S_blob_751,396,414,NA,0.541435932,0.643358381,NA,0.06159872,0,0.802267969,0.613487892,0.738273612,0.629403576,0.481107352,0.842470604,0.51376813,0.854851608,NA,0,0,0.683589629,NYC,,,,,,,
1221_0832_blob_981,0.000305355,NA,NA,NA,NA,NA,NA,0.396722911,0.459677133,-0.204742173,-0.162101258,-0.11204944,-0.400142457,C9 Diacid (azelaic acid),470,563,1810.738255,1822,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",655,668,NA,C13H26BNO6Si,331,myrc_ox_L_blob_801,628,696,1819,0.312289323,0.111183134,NA,0.286421612,-0.056842262,0.720546412,0.614236329,0.770426594,0.42554814,0.834429476,0.477171015,0.482632768,0,NA,0.155741483,0.995954646,0.644875702,NYC,,,,,,,
1221_0832_blob_979,0.001033749,0.769643858,0.181661684,0.461080799,-0.11507197,0.193762352,-0.194295016,0.406134475,0.509814794,0.034795732,-0.211111474,-0.16629049,-0.265634622,C7 acid,475,547,1798.780488,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,677,NA,C12H27BO5Si2,318,myrc_ox_L_blob_562,660,689,1792,0.442405977,0.056722198,NA,0.176551399,-0.013934195,0.587137639,0.632520666,0.73066278,0.602481327,0.868199681,0.525320202,0.566210569,0.009840139,NA,0.641612866,0.780201286,0.75641354,NYC,,,,,,,
1221_0832_blob_978,5.85E-05,0.543324803,0.995763289,-0.526726055,0.87989404,0.960474504,0.805759892,0.691724028,0.232732752,0.062139909,-0.187653401,0.896603573,-0.952353956,C7 acid,474,538,1759.756098,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",636,681,NA,C15H30O4Si,302,limonox_S_blob_790,638,670,1768,0.912949775,0.833358744,NA,1,1,0.892594115,0.867933604,0.90043982,0.742911993,0.782741258,0.020679517,0.949303204,0,NA,0,0,0.896164137,NYC,,,,,,,
1221_0832_blob_977,0.000114975,NA,NA,NA,NA,NA,NA,0.61175458,0.257058575,-0.33424941,-0.284459272,0.224831631,-0.353820468,C7 acid,475,524,1771.95122,NA,"Dodecanoic acid, 2,3-bis(acetyloxy)propyl ester",613,648,NA,C19H34O6,358,limonox_S_blob_790,628,656,1768,0.387062023,0.603124414,NA,0.933430545,0.745185171,0.873155857,0.726576189,0.798900549,0.640708731,0.681503401,0.23591276,0.556624092,0,NA,0.657941804,0,0.889918782,NYC,,,,,,,
