"","Compound.Name","assigned_cluster_1","anthro_influenced_1","influence_type_1","notes_1","assigned_cluster_2","anthro_influenced_2","influence_type_2","notes_2","ES_Comp_Name","Tracer_key","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","cumsum_ISrawnorm","vol_frac_1","vol_frac_2"
"26","1221_2326_blob_858",NA,NA,NA,NA,1,FALSE,NA,"some anthro influence and IEPOX but none strong",NA,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",600,"myrc_ox_L_blob_801",569,4.1644357506355e-06,NA,0.0205401784224247
"27","1221_2326_blob_841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10-Methyl-E-11-tridecen-1-ol propionate",738,"apin_ox_S_blob_751",437,NA,NA,NA
"28","1221_2326_blob_817",NA,NA,NA,NA,9,FALSE,NA,"decent MOOOA correlation","C28",NA,"Sulfurous acid, 2-ethylhexyl undecyl ester",827,"apin_ox_S_blob_751",291,0.00028323883412559,NA,0.017819936581507
"29","1221_2326_blob_799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,6,9,13,16-Pentaoxa-2,17-disilaoctadecane, 2,2,17,17-tetramethyl-",655,"apin_ox_S_blob_751",528,NA,NA,NA
"30","1221_2326_blob_790",NA,NA,NA,NA,NA,NA,NA,NA,"C26 acid",NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",733,"limonox_S_blob_687",544,NA,NA,NA
"31","1221_2326_blob_776",4,FALSE,NA,"some HC influence but not clear",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"2-Hydroxycyclohexane-1-carboxylic acid, bis(trimethylsilyl) deriv.",673,"myrc_ox_L_blob_682",659,0.000791267232547014,0.0339718247071164,0.230717631063636
"32","1221_2326_blob_762",7,FALSE,NA,"total myserty",NA,NA,NA,NA,NA,NA,"Vinyl 2-ethylhexanoate",682,"bcp_ox_L_blob_989",400,1.37421738575106e-05,0.057495434307447,NA
"33","1221_2326_blob_754",9,FALSE,NA,"some amd HC and BB but none strong",2,TRUE,"BB","not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",656,"bcp_ox_L_blob_787",580,5.81007795086043e-05,0.348714464682746,0.003320537964288
"34","1221_2326_blob_741",4,FALSE,NA,"some HC influence but not clear",6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",596,"limonox_S_blob_687",436,8.87297559610248e-05,0.0339718247071164,0.0254276438988571
"35","1221_2326_blob_722",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"3-Octen-2-ol, (E)-, TMS derivative",635,"apin_ox_L_blob_530",840,0.000261833882363666,0.043048536918008,0.117693231121791
"36","1221_2326_blob_716",4,FALSE,NA,"some HC influence but not clear",6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"3-Buten-2-ol, 2-methyl-4-(1,3,3-trimethyl-7-oxabicyclo[4.1.0]hept-2-yl)-",737,"limonox_L_blob_723",549,0.000235329801923533,0.0339718247071164,0.0254276438988571
"37","1221_2326_blob_715",9,FALSE,NA,"some amd HC and BB but none strong",NA,NA,NA,NA,NA,NA,"5Z,?8Z,?11Z,?14Z-Eeicosatetraenoic acid,? 3-?theinylmethyl ester",645,"limonox_S_blob_804",521,2.8241277716045e-06,0.348714464682746,NA
"38","1221_2326_blob_688",4,FALSE,NA,"some HC influence but not clear",2,TRUE,"BB","not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",677,"bcp_ox_L_blob_787",522,0.000145299860855026,0.0339718247071164,0.003320537964288
"39","1221_2326_blob_672",4,FALSE,NA,"some HC influence but not clear",5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",634,"limonox_S_blob_787",717,3.74428753704601e-05,0.0339718247071164,0.0424769087931355
"40","1221_2326_blob_671",4,FALSE,NA,"some HC influence but not clear",5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"E-9-Methyl-8-tridecen-2-ol, acetate",647,"bcp_ox_L_blob_704",598,2.99493729011081e-05,0.0339718247071164,0.0424769087931355
"41","1221_2326_blob_657",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer","beta-caryophyllene aldehyde","SQT1","Bicyclo[2.2.1]heptane-2,5-diol, 1,7,7-trimethyl-, (2-endo,5-exo)-",747,"apin_ox_S_blob_634",554,0.000360615550305871,NA,0.00618291618211408
"42","1221_2326_blob_600",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,"UP","strogn urban plume corr and strong IEPOX","squalene",NA,"6,11-Dimethyl-2,6,10-dodecatrien-1-ol",810,"bcp_ox_L_blob_18",337,0.000692003705793509,0.0466785412509809,0.230717631063636
"43","1221_0832_blob_996",10,TRUE,"BB","Levoglucosan here",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Syringic acid (2TMS)",655,"limonox_L_blob_589",493,0.00132395666116249,0.10139608802959,0.525616925600794
"44","1221_0832_blob_994",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Isoborneol, pentamethyldisilanyl ether",612,"limonox_S_blob_633",565,9.27233964859928e-05,0.172096192979959,0.230717631063636
"45","1221_0832_blob_993",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Epistephamiersine",578,"limonox_L_blob_564",588,0.000971583054373977,0.172096192979959,0.230717631063636
"46","1221_0832_blob_992",5,FALSE,NA,"IEPOX and LOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"(2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",650,"myrc_ox_L_blob_801",641,1.07781700738261e-05,0.020926692898477,0.117693231121791
"47","1221_0832_blob_988",10,TRUE,"BB","Levoglucosan here",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"4-Coumaric acid, 2TMS derivative",695,"limonox_S_blob_685",486,0.000164070507615609,0.10139608802959,0.525616925600794
"48","1221_0832_blob_987",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",653,"myrc_ox_L_blob_628",667,0.000116545507492557,0.0649182550729844,0.230717631063636
"49","1221_0832_blob_986",4,FALSE,NA,"some HC influence but not clear",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,"limonox_S_blob_725",603,3.75913718342127e-05,0.0339718247071164,0.230717631063636
"50","1221_0832_blob_985",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",637,"limonox_S_blob_725",578,9.27976132933653e-05,0.043048536918008,0.230717631063636
"51","1221_0832_blob_983",4,FALSE,NA,"some HC influence but not clear",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",640,"limonox_S_blob_687",486,0.000324215863897855,0.0339718247071164,0.230717631063636
"52","1221_0832_blob_982",4,FALSE,NA,"some HC influence but not clear",9,FALSE,NA,"decent MOOOA correlation",NA,NA,"1-(4-Hydroxy-3,5-di-tert.-butylphenyl)-2-methyl-3-morpholinopropan-1-one",682,"apin_ox_S_blob_751",396,1.52785782914872e-05,0.0339718247071164,0.017819936581507
"53","1221_0832_blob_981",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",655,"myrc_ox_L_blob_801",628,0.00058356523770342,0.0633705834493537,0.230717631063636
"54","1221_0832_blob_979",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,"myrc_ox_L_blob_562",660,0.00315350320704169,0.172096192979959,0.230717631063636
"55","1221_0832_blob_978",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",636,"limonox_S_blob_790",638,2.96582892391704e-05,0.172096192979959,0.230717631063636
"56","1221_0832_blob_977",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Dodecanoic acid, 2,3-bis(acetyloxy)propyl ester",613,"limonox_S_blob_790",628,0.000106746717543596,0.0633705834493537,0.230717631063636
"57","1221_0832_blob_976",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",672,"limonox_S_blob_847",571,0.000421174768758194,0.0633705834493537,0.525616925600794
"58","1221_0832_blob_974",7,FALSE,NA,"total myserty",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"7-Oxooctanoic acid, 2-trimethylsilylethyl ester",610,"limonox_S_blob_775",577,1.26855582708233e-05,0.057495434307447,0.117693231121791
"59","1221_0832_blob_971",4,FALSE,NA,"some HC influence but not clear",NA,NA,NA,NA,NA,NA,"5-(7a-Isopropenyl-4,5-dimethyl-octahydroinden-4-yl)-3-methyl-pent-2-enal",728,"apin_ox_S_blob_592",270,2.78907053808875e-05,0.0339718247071164,NA
"60","1221_0832_blob_968",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Arabinitol, 5TMS derivative",777,"apin_ox_L_blob_553",549,0.000126574565657899,0.172096192979959,0.230717631063636
"61","1221_0832_blob_967",10,TRUE,"BB","Levoglucosan here",8,FALSE,NA,"very strong IEPOX connections","4-hydroxybenzoic acid","BB5","4-Hydroxybenzoic acid, 2TMS derivative",715,"myrc_ox_L_blob_633",456,0.00165544074356977,0.10139608802959,0.0102040903714525
"62","1221_0832_blob_966",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",652,"limonox_S_blob_720",639,0.000190337597502108,0.0649182550729844,0.230717631063636
"63","1221_0832_blob_965",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",1,FALSE,NA,"some anthro influence and IEPOX but none strong",NA,NA,"1,7-Heptanediol, 2TMS derivative",685,"apin_ox_S_blob_656",663,0.000309992042935367,0.043048536918008,0.0205401784224247
"64","1221_0832_blob_961",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",629,"limonox_L_blob_644",609,0.000397807525809226,0.172096192979959,0.230717631063636
"65","1221_0832_blob_954",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"2-Isopropyl-3-ketobutyrate, bis(O-trimethylsilyl)-",615,"limonox_S_blob_725",650,2.49917014392472e-05,0.0633705834493537,0.117693231121791
"66","1221_0832_blob_953",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,"UP","strogn urban plume corr and strong IEPOX","beta-nocaryophyllonic acid, TMS","SQT5","1b,4a-Epoxy-2H-cyclopenta[3,4]cyclopropa[8,9]cycloundec[1,2-b]oxiren-5(6H)-one, 7-(acetyloxy)decahydro-2,9,10-trihydroxy-3,6,8,8,10a-pentamethyl-",615,"limonox_S_blob_788",498,0.00206144652228959,0.043048536918008,0.230717631063636
"67","1221_0832_blob_952",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",667,"limonox_S_blob_706",537,0.00136809090984882,0.043048536918008,0.230717631063636
"68","1221_0832_blob_950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N-Formylglycine, TMS derivative",637,"myrc_ox_L_blob_631",529,NA,NA,NA
"69","1221_0832_blob_948",7,FALSE,NA,"total myserty",NA,NA,NA,NA,NA,NA,"Ethyl 3-hydroxy-2,2-dimethylbutanoate, TMS derivative",720,"apin_ox_S_blob_590",576,3.63227789662355e-06,0.057495434307447,NA
"70","1221_0832_blob_946",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Propanoic acid, 3-(trimethylsilyl)-, ethyl ester",686,"myrc_ox_L_blob_609",636,0.000846583373424377,0.0466785412509809,0.230717631063636
"71","1221_0832_blob_942",7,FALSE,NA,"total myserty",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"Tripropylene glycol monomethyl ether, TMS derivative",717,"limonox_S_blob_701",466,5.26584665488765e-05,0.057495434307447,0.117693231121791
"72","1221_0832_blob_941",4,FALSE,NA,"some HC influence but not clear",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",676,"limonox_S_blob_725",652,0.000275634845602133,0.0339718247071164,0.117693231121791
"73","1221_0832_blob_937",4,FALSE,NA,"some HC influence but not clear",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"3-Octen-2-ol, (E)-, TMS derivative",689,"limonox_S_blob_687",454,5.37960228590886e-05,0.0339718247071164,0.230717631063636
"74","1221_0832_blob_936",10,TRUE,"BB","Levoglucosan here",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",631,"limonox_S_blob_754",629,0.000207514565194388,0.10139608802959,0.117693231121791
"75","1221_0832_blob_934",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"3-Methylene-1,4-bis(trimethylsilyloxy) butane",614,"limonox_S_blob_730",650,0.000734407021478628,0.043048536918008,0.117693231121791
"76","1221_0832_blob_933",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"3-Octen-2-ol, (E)-, TMS derivative",646,"myrc_ox_L_blob_812",614,0.000683772758258554,0.172096192979959,0.230717631063636
"77","1221_0832_blob_928",9,FALSE,NA,"some amd HC and BB but none strong",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"1-Heptatriacotanol",645,"limonox_S_blob_847",539,0.000267441331423647,0.348714464682746,0.230717631063636
"78","1221_0832_blob_924",4,FALSE,NA,"some HC influence but not clear",NA,NA,NA,NA,NA,NA,"tert-Hexadecanethiol",768,"bcp_ox_L_blob_18",340,3.91454786215029e-05,0.0339718247071164,NA
"79","1221_0832_blob_920",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",665,"myrc_ox_L_blob_709",642,6.83152917473339e-05,0.0633705834493537,0.117693231121791
"80","1221_0832_blob_919",4,FALSE,NA,"some HC influence but not clear",1,FALSE,NA,"some anthro influence and IEPOX but none strong",NA,NA,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",672,"limonox_S_blob_804",633,0.000139467293131517,0.0339718247071164,0.0205401784224247
"81","1221_0832_blob_914",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,"C33",NA,"tert-Hexadecanethiol",741,"apin_ox_S_blob_751",344,7.43736372553246e-05,0.10139608802959,NA
"82","1221_0832_blob_912",13,TRUE,"UP",NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-Deoxypentofuranose, 3TMS derivative",688,"myrc_ox_L_blob_727",684,0.00193595969884942,0.0242284099717432,0.525616925600794
"83","1221_0832_blob_910",9,FALSE,NA,"some amd HC and BB but none strong",5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"Phthalic acid, ethyl pentadecyl ester",610,"bcp_ox_L_blob_650",524,4.52271727222285e-05,0.348714464682746,0.0424769087931355
"84","1221_0832_blob_909",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",644,"limonox_S_blob_685",591,0.00123264119727511,0.0633705834493537,0.230717631063636
"85","1221_0832_blob_905",7,FALSE,NA,"total myserty",NA,NA,NA,NA,NA,NA,"Silane, [2-(cyclopentyloxy)ethoxy]trimethyl-",672,"limonox_S_blob_687",495,1.3599722346755e-06,0.057495434307447,NA
"86","1221_0832_blob_902",4,FALSE,NA,"some HC influence but not clear",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",623,"limonox_S_blob_847",539,0.000113903486862114,0.0339718247071164,0.117693231121791
"87","1221_0832_blob_900",5,FALSE,NA,"IEPOX and LOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"4-Hexenoic acid, 4-methyl-6-(fluorodimethylsilyl)-6-trimethylsilyl-",651,"limonox_L_blob_550",754,0.00021654778032784,0.020926692898477,0.117693231121791
"88","1221_0832_blob_899",7,FALSE,NA,"total myserty",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"2-Bromosebacic acid, 2TMS derivative",679,"limonox_S_blob_847",566,0.000154444203946588,0.057495434307447,0.230717631063636
"89","1221_0832_blob_898",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",648,"limonox_L_blob_611",641,0.000937421435824239,0.0633705834493537,0.117693231121791
"90","1221_0832_blob_897",6,TRUE,"BB",NA,5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",668,"limonox_S_blob_788",540,0.000662867560545398,0.0231549757315948,0.0424769087931355
"91","1221_0832_blob_895",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"l-Galactopyranose, 6-deoxy-1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",636,"myrc_ox_L_blob_709",698,0.000274034722681387,0.0649182550729844,0.230717631063636
"92","1221_0832_blob_894",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",656,"apin_ox_S_blob_708",626,0.000472158075237548,0.0649182550729844,0.230717631063636
"93","1221_0832_blob_893",7,FALSE,NA,"total myserty",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",634,"limonox_S_blob_754",677,0.000257300850881937,0.057495434307447,0.230717631063636
"94","1221_0832_blob_890",4,FALSE,NA,"some HC influence but not clear",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",602,"limonox_S_blob_671",603,1.51354142860171e-05,0.0339718247071164,0.117693231121791
